"species","hti","bl.range.size","mig.distance","ebird.mig.dist","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Secondary1","Tail.Length","Mass","sp.dist","iucn.ordinal","median.abund","range.size","trend","edge.score","gen.field","morph.field","max.acad"
"Abeillia_abeillei",8.146,7.46908388492123,4.87770450198836,7.1674118478221,2.56494935746154,2.2512917986065,0.182321556793955,0.53062825106217,1.84054963339749,3.85014760171006,2.7408400239252,3.38099467434464,0.993251773010283,3.17914600294637,0,NA,NA,NA,1.7619727286615,128.035745989401,5.82391507369489,17
"Abroscopus_albogularis",15.906,9.99716002839876,6.01277530331132,7.54752517827209,2.19722457733622,1.58923520511658,0.993251773010283,0.832909122935104,2.72785282839839,3.77045944110636,3.61899332664977,3.65583960003574,1.56861591791385,1.38449697768973,0,NA,NA,NA,1.29224800306006,64.9775353231913,3.64096225710452,NA
"Abroscopus_schisticeps",15.716,9.38269576445829,5.70634486850184,7.93710302899618,2.19722457733622,1.54756250871601,0.955511445027436,0.832909122935104,2.80336038090653,3.85227300102237,3.67630067190708,3.8607297110406,1.54756250871601,1.52250570737727,0,NA,NA,NA,1.15413876001881,57.9512113586458,3.17129099846235,NA
"Abroscopus_superciliaris",17.066,10.3151335197194,6.41968882867734,8.11013438930302,2.50959926237837,2.00148000021012,1.1314021114911,1.02961941718116,2.8094026953625,3.93573953204546,3.7954891891722,3.74714836223791,1.87180217690159,1.03331001503805,0,NA,NA,NA,1.21448475675124,70.8701618816427,3.36855799034725,NA
"Aburria_aburri",11.29795918,7.41034709782102,5.56137553220383,7.94442277911505,3.61361696961339,2.8094026953625,2.23001440015921,2.32238772029023,4.18661983833127,5.8206762261277,5.64580019211785,5.67125928295064,7.24786375361229,2.64638965072972,0,NA,NA,NA,1.76017404579441,171.864183516061,5.81344911272644,NA
"Acanthagenys_rufogularis",19.724,11.2718852189159,6.42708830512169,7.30817966903344,3.24649099190117,2.4248027257183,1.30833281965018,1.6094379124341,3.22286784613774,4.71043069664558,4.41642806139121,4.71312732749318,3.86702563949741,1.99025531639299,0,NA,NA,NA,1.03086748888542,79.0505085537923,2.80349678243562,NA
"Acanthidops_bairdi",12.65,3.98898404656427,3.62502832574589,5.1817042406246,2.78501124223834,2.37954613413017,1.3609765531356,1.66770682055808,3.03974915897077,4.18965474202643,4.00186370942794,3.95316494875932,2.77258872223978,0.765296853904148,0,NA,NA,NA,0.952791279172314,75.9569062852238,2.59293717915373,17
"Acanthis_cabaret",31.53310204,13.1672851164754,7.33772943458424,10.318642362893,2.37024374146786,2.05412373369555,1.56861591791385,1.75785791755237,2.65324196460721,4.27666611901606,3.92592591059714,4.06044301054642,2.484906649788,1.51395850917965,NA,NA,NA,NA,1.30154775084977,82.0419690577337,3.67498022188298,NA
"Acanthis_flammea",50,13.1672851164754,7.33772943458424,8.74228405633066,2.43361335540045,2.05412373369555,1.50407739677627,1.87180217690159,2.74727091425549,4.32413265625498,3.95124371858143,4.07243972683405,2.56494935746154,1.63206948104278,0,-0.685356405336553,9.83921566251599,-3.98840961807932,1.25347869389564,81.1665309216025,3.50250593557485,9
"Acanthis_hornemanni",48.17083333,13.1672851164754,7.33772943458424,9.15226467712504,2.4932054526027,2.05412373369555,1.68639895357023,1.94591014905531,2.82137888640921,4.43081679884331,3.92592591059714,4.17438726989564,2.63188884013665,2.00222186551636,NA,-2.86424515361559,8.75809807230909,-6.1791320564175,1.24144285809246,84.6446161648993,3.46060302336159,9
"Acanthisitta_chloris",7.888,8.07090608878782,5.00871862512262,6.2595226349254,2.4932054526027,1.84054963339749,0.8754687373539,0.78845736036427,2.89037175789616,3.8286413964891,3.64021428213266,3.15700042115011,1.93152141160321,1.8167587286346,0,NA,NA,NA,1.513895009953,113.091633373828,4.54439683818658,NA
"Acanthiza_apicalis",16.164,10.9050381283611,6.28791820770817,7.37403692040004,2.39789527279837,1.77495235091167,0.78845736036427,0.955511445027436,2.94443897916644,3.93182563272433,3.76584049525006,3.7864597824528,2.02814824729229,1.25483142427999,0,NA,NA,NA,1.39783821067913,76.2543365054311,4.04644294768797,NA
"Acanthiza_chrysorrhoa",38.528,11.0289851699856,6.39313838582122,7.30135735948979,2.45958884180371,1.82454929205105,0.741937344729377,0.916290731874155,2.89037175789616,4.06560209335645,3.89385903480047,3.63495111208838,2.23001440015921,1.47080266694317,0,NA,NA,NA,1.48742245481024,83.3153013489733,4.42567343158918,NA
"Acanthiza_cinerea",NA,7.26052259808985,5.01195038868395,8.43558610500191,2.36085400111802,1.79175946922805,0.955511445027436,1.02961941718116,2.95491027903374,3.95124371858143,3.74242022104197,3.47815842279828,2.02814824729229,1.37802058404446,0,NA,NA,NA,1.2764411272148,81.6251606897691,3.58386249209194,NA
"Acanthiza_ewingii",17.0755102,6.97914527506881,4.3730629695456,5.75987936184841,2.37024374146786,1.7227665977411,0.641853886172395,0.916290731874155,3.06805293513362,3.95508249488859,3.74950407593037,3.83729945923221,1.93152141160321,1.81869083991174,0,NA,NA,NA,1.5418149283969,83.0180928579082,4.67306385547941,NA
"Acanthiza_inornata",21.60408163,7.55171221535131,4.61697896440862,6.70260917859286,2.4248027257183,1.77495235091167,0.832909122935104,0.993251773010283,2.85070650150373,3.86702563949741,3.71357206670431,3.5945687746427,1.94591014905531,1.19963311286335,0,NA,NA,NA,1.47979401474851,80.5412093111548,4.39204089208766,NA
"Acanthiza_iredalei",12.48,9.50977807543882,5.78450833700997,8.16161730618452,2.21920348405499,1.56861591791385,0.693147180559945,0.832909122935104,2.85647020622048,3.87949981372259,3.68386691229039,3.67122451887522,1.79175946922805,1.43161394192139,0,NA,NA,NA,1.50510144365451,79.4033478932387,4.5046105712697,NA
