taxon_order,species_code,bio_concept_code,primary_com_name,sci_name,value
185,dwatin1,B62C4561,Dwarf Tinamou,Taoniscus nanus,IUCN_EN
186,elctin1,4E215E82,Elegant Crested-Tinamou,Eudromia elegans,IUCN_LC
197,quctin1,9337459C,Quebracho Crested-Tinamou,Eudromia formosa,IUCN_LC
200,puntin1,0A51B426,Puna Tinamou,Tinamotis pentlandii,IUCN_LC
201,pattin1,EC451D91,Patagonian Tinamou,Tinamotis ingoufi,IUCN_LC
204,soucas1,8B9D93D8,Southern Cassowary,Casuarius casuarius,IUCN_LC
205,dwacas1,7751E0D1,Dwarf Cassowary,Casuarius bennetti,IUCN_LC
206,norcas1,32E7303B,Northern Cassowary,Casuarius unappendiculatus,IUCN_LC
213,sobkiw1,6BA55EF0,Southern Brown Kiwi,Apteryx australis,IUCN_VU
216,okbkiw1,D433BDAB,Okarito Brown Kiwi,Apteryx rowi,IUCN_VU
217,nibkiw1,DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,IUCN_VU
218,liskiw1,187706CF,Little Spotted Kiwi,Apteryx owenii,IUCN_NT
220,grskiw1,0D8B9E40,Great Spotted Kiwi,Apteryx haastii,IUCN_VU
223,horscr1,71BA40DC,Horned Screamer,Anhima cornuta,IUCN_LC
224,souscr1,91194BE3,Southern Screamer,Chauna torquata,IUCN_LC
225,norscr1,013B2B0B,Northern Screamer,Chauna chavaria,IUCN_LC
227,maggoo1,89D5434B,Magpie Goose,Anseranas semipalmata,IUCN_LC
229,spwduc1,1AAB20B0,Spotted Whistling-Duck,Dendrocygna guttata,IUCN_LC
230,plwduc1,A467AD00,Plumed Whistling-Duck,Dendrocygna eytoni,IUCN_LC
231,wfwduc1,A534AFEA,White-faced Whistling-Duck,Dendrocygna viduata,IUCN_LC
233,bbwduc,C01A22D6,Black-bellied Whistling-Duck,Dendrocygna autumnalis,IUCN_LC
236,wiwduc1,DC65FCE7,West Indian Whistling-Duck,Dendrocygna arborea,IUCN_NT
238,fuwduc,9A60617E,Fulvous Whistling-Duck,Dendrocygna bicolor,IUCN_LC
241,wawduc1,69D272A6,Wandering Whistling-Duck,Dendrocygna arcuata,IUCN_LC
247,lewduc1,BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,IUCN_LC
251,whbduc1,2EEDACD5,White-backed Duck,Thalassornis leuconotus,IUCN_LC
254,bahgoo,B7159EF0,Bar-headed Goose,Anser indicus,IUCN_LC
255,empgoo,1E6F0F8D,Emperor Goose,Anser canagicus,IUCN_LC
256,snogoo,D3A260BC,Snow Goose,Anser caerulescens,IUCN_LC
260,rosgoo,7A24F57F,Ross's Goose,Anser rossii,IUCN_LC
263,gragoo,4AED44E8,Graylag Goose,Anser anser,IUCN_LC
268,swagoo1,946E4517,Swan Goose,Anser cygnoides,IUCN_EN
271,gwfgoo,466E9077,Greater White-fronted Goose,Anser albifrons,IUCN_LC
282,lwfgoo,184D2329,Lesser White-fronted Goose,Anser erythropus,IUCN_VU
293,pifgoo,AFA7EE74,Pink-footed Goose,Anser brachyrhynchus,IUCN_LC
296,brant,3E04020B,Brant,Branta bernicla,IUCN_LC
304,bargoo,3163ED86,Barnacle Goose,Branta leucopsis,IUCN_LC
313,cacgoo1,60214D49,Cackling Goose,Branta hutchinsii,IUCN_LC
324,cangoo,B59E1863,Canada Goose,Branta canadensis,IUCN_LC
347,hawgoo,EDB18078,Hawaiian Goose,Branta sandvicensis,IUCN_NT
348,rebgoo1,0D280B3F,Red-breasted Goose,Branta ruficollis,IUCN_VU
353,cabgoo1,CA875F31,Cape Barren Goose,Cereopsis novaehollandiae,IUCN_LC
356,freduc1,E93960AB,Freckled Duck,Stictonetta naevosa,IUCN_LC
357,buwgoo1,842CC0BC,Blue-winged Goose,Cyanochen cyanoptera,IUCN_NT
358,mutswa,694C127A,Mute Swan,Cygnus olor,IUCN_LC
360,blkswa,46B54DB1,Black Swan,Cygnus atratus,IUCN_LC
362,blnswa2,B8C652E6,Black-necked Swan,Cygnus melancoryphus,IUCN_LC
363,truswa,B86C504C,Trumpeter Swan,Cygnus buccinator,IUCN_LC
365,tunswa,0BCBA6B9,Tundra Swan,Cygnus columbianus,IUCN_LC
371,whoswa,BDDB5670,Whooper Swan,Cygnus cygnus,IUCN_LC
376,cosswa1,A3A0E8FE,Coscoroba Swan,Coscoroba coscoroba,IUCN_LC
377,comduc2,3948131B,Knob-billed Duck,Sarkidiornis melanotos,IUCN_LC
378,comduc3,6C8A4060,Comb Duck,Sarkidiornis sylvicola,IUCN_LC
379,harduc1,F28E3EB8,Hartlaub's Duck,Pteronetta hartlaubii,IUCN_LC
380,origoo1,FA5A25B2,Orinoco Goose,Oressochen jubatus,IUCN_NT
381,andgoo1,BB29610F,Andean Goose,Oressochen melanopterus,IUCN_LC
382,uplgoo1,74FC5DAB,Upland Goose,Chloephaga picta,IUCN_LC
387,kelgoo1,4270502F,Kelp Goose,Chloephaga hybrida,IUCN_LC
390,ashgoo1,E0DEB0E7,Ashy-headed Goose,Chloephaga poliocephala,IUCN_LC
391,ruhgoo1,164A10EA,Ruddy-headed Goose,Chloephaga rubidiceps,IUCN_LC
394,radshe1,13B373F3,Radjah Shelduck,Radjah radjah,IUCN_LC
397,egygoo,DA2F24E3,Egyptian Goose,Alopochen aegyptiaca,IUCN_LC
398,maushe1,E4AA60C7,Mauritius Shelduck,Alopochen mauritiana,IUCN_EX
399,reushe1,10D0AD82,Reunion Shelduck,Alopochen kervazoi,IUCN_EX
400,rudshe,1F9D883E,Ruddy Shelduck,Tadorna ferruginea,IUCN_LC
402,soashe1,D9DEA77E,South African Shelduck,Tadorna cana,IUCN_LC
403,ausshe1,FF1439E4,Australian Shelduck,Tadorna tadornoides,IUCN_LC
404,parshe1,AB08E5C4,Paradise Shelduck,Tadorna variegata,IUCN_LC
405,comshe,5EAB32D3,Common Shelduck,Tadorna tadorna,IUCN_LC
407,creshe1,B2EEE0EA,Crested Shelduck,Tadorna cristata,IUCN_CR
408,spwgoo1,EB01B24C,Spur-winged Goose,Plectropterus gambensis,IUCN_LC
411,flystd1,B3F9BB06,Flying Steamer-Duck,Tachyeres patachonicus,IUCN_LC
412,flistd1,1891E2C4,Flightless Steamer-Duck,Tachyeres pteneres,IUCN_LC
414,falstd1,13CF7E44,Falkland Steamer-Duck,Tachyeres brachypterus,IUCN_LC
417,whhstd1,63180090,White-headed Steamer-Duck,Tachyeres leucocephalus,IUCN_VU
419,creduc1,079F846A,Crested Duck,Lophonetta specularioides,IUCN_LC
422,speduc2,DB94B36F,Spectacled Duck,Speculanas specularis,IUCN_NT
423,musduc,8DE14046,Muscovy Duck,Cairina moschata,IUCN_LC
426,grnpyg1,D040868F,Green Pygmy-Goose,Nettapus pulchellus,IUCN_LC
427,copgoo1,90AAE188,Cotton Pygmy-Goose,Nettapus coromandelianus,IUCN_LC
431,afrpyg1,EC7C1618,African Pygmy-Goose,Nettapus auritus,IUCN_LC
432,rintea1,45C1096F,Ringed Teal,Callonetta leucophrys,IUCN_LC
433,wooduc,27B2749A,Wood Duck,Aix sponsa,IUCN_LC
435,manduc,E1714A09,Mandarin Duck,Aix galericulata,IUCN_LC
437,manduc1,149A8E7E,Maned Duck,Chenonetta jubata,IUCN_LC
438,finduc1,B3A6E16F,Finsch's Duck,Chenonetta finschi,IUCN_EX
439,bratea1,DDFC6B2B,Brazilian Teal,Amazonetta brasiliensis,IUCN_LC
442,bluduc1,C7FB4E76,Blue Duck,Hymenolaimus malacorhynchos,IUCN_EN
