species_code	authority_ver	taxon_order	category	sci_name	primary_com_name	order1	family_sci_name	bio_concept_code	
chisni1	2023	6042	species	Coenocorypha pusilla	Chatham Islands Snipe	Charadriiformes	Scolopacidae	168E3626	
snisni1	2023	6043	species	Coenocorypha huegeli	Snares Island Snipe	Charadriiformes	Scolopacidae	90E8B13B	
subsni1	2023	6044	species	Coenocorypha aucklandica	Subantarctic Snipe	Charadriiformes	Scolopacidae	02884D9E	
impsni1	2023	6048	species	Gallinago imperialis	Imperial Snipe	Charadriiformes	Scolopacidae	3AA9C3BA	
andsni1	2023	6049	species	Gallinago jamesoni	Jameson's Snipe	Charadriiformes	Scolopacidae	4A691A33	
fuesni1	2023	6050	species	Gallinago stricklandii	Fuegian Snipe	Charadriiformes	Scolopacidae	9890A5DC	
solsni1	2023	6051	species	Gallinago solitaria	Solitary Snipe	Charadriiformes	Scolopacidae	F6B72EAF	
latsni1	2023	6059	species	Gallinago hardwickii	Latham's Snipe	Charadriiformes	Scolopacidae	C9B4E3D5	
woosni1	2023	6054	species	Gallinago nemoricola	Wood Snipe	Charadriiformes	Scolopacidae	34ABFEB7	
gresni1	2023	6055	species	Gallinago media	Great Snipe	Charadriiformes	Scolopacidae	BCCD5840	
comsni	2023	6064	species	Gallinago gallinago	Common Snipe	Charadriiformes	Scolopacidae	9151E0BA	
wilsni1	2023	6069	species	Gallinago delicata	Wilson's Snipe	Charadriiformes	Scolopacidae	F5C8516D	
soasni2	2023	6079	species	Gallinago paraguaiae	Pantanal Snipe	Charadriiformes	Scolopacidae	8E841A61	
soasni3	2023	6081	species	Gallinago magellanica	Magellanic Snipe	Charadriiformes	Scolopacidae	3B942738	
punsni1	2023	6075	species	Gallinago andina	Puna Snipe	Charadriiformes	Scolopacidae	F9BBBC1F	
nobsni1	2023	6074	species	Gallinago nobilis	Noble Snipe	Charadriiformes	Scolopacidae	0A79923B	
pitsni	2023	6057	species	Gallinago stenura	Pin-tailed Snipe	Charadriiformes	Scolopacidae	EE61E2CA	
swisni1	2023	6056	species	Gallinago megala	Swinhoe's Snipe	Charadriiformes	Scolopacidae	9E66B47A	
afrsni1	2023	6060	species	Gallinago nigripennis	African Snipe	Charadriiformes	Scolopacidae	831FC147	
madsni1	2023	6078	species	Gallinago macrodactyla	Madagascar Snipe	Charadriiformes	Scolopacidae	11B37CB0	
giasni1	2023	6071	species	Gallinago undulata	Giant Snipe	Charadriiformes	Scolopacidae	CBB7DCF0	
tersan	2023	6089	species	Xenus cinereus	Terek Sandpiper	Charadriiformes	Scolopacidae	6D5992EE	
wilpha	2023	6084	species	Phalaropus tricolor	Wilson's Phalarope	Charadriiformes	Scolopacidae	667C6969	
renpha	2023	6086	species	Phalaropus lobatus	Red-necked Phalarope	Charadriiformes	Scolopacidae	E6F3BA54	
redpha1	2023	6085	species	Phalaropus fulicarius	Red Phalarope	Charadriiformes	Scolopacidae	18A19380	
comsan	2023	6090	species	Actitis hypoleucos	Common Sandpiper	Charadriiformes	Scolopacidae	8548B07E	
sposan	2023	6091	species	Actitis macularius	Spotted Sandpiper	Charadriiformes	Scolopacidae	0D88C072	
grnsan	2023	6093	species	Tringa ochropus	Green Sandpiper	Charadriiformes	Scolopacidae	A7B17EFC	
solsan	2023	6094	species	Tringa solitaria	Solitary Sandpiper	Charadriiformes	Scolopacidae	D4A73324	
solsan1	2023	6095	subspecies	Tringa solitaria solitaria	Solitary Sandpiper (solitaria)	Charadriiformes	Scolopacidae	FCCEC057	
solsan2	2023	6096	subspecies	Tringa solitaria cinnamomea	Solitary Sandpiper (cinnamomea)	Charadriiformes	Scolopacidae	8A139367	
gyttat1	2023	6097	species	Tringa brevipes	Gray-tailed Tattler	Charadriiformes	Scolopacidae	29256A38	
wantat1	2023	6098	species	Tringa incana	Wandering Tattler	Charadriiformes	Scolopacidae	13854B6E	
spored	2023	6114	species	Tringa erythropus	Spotted Redshank	Charadriiformes	Scolopacidae	0895DD84	
greyel	2023	6118	species	Tringa melanoleuca	Greater Yellowlegs	Charadriiformes	Scolopacidae	6EB81C98	
comgre	2023	6116	species	Tringa nebularia	Common Greenshank	Charadriiformes	Scolopacidae	18B415D2	
norgre1	2023	6110	species	Tringa guttifer	Nordmann's Greenshank	Charadriiformes	Scolopacidae	C7E9D357	
willet1	2023	6111	species	Tringa semipalmata	Willet	Charadriiformes	Scolopacidae	E7A14E91	
willet2	2023	6112	subspecies	Tringa semipalmata semipalmata	Willet (Eastern)	Charadriiformes	Scolopacidae	6D372C9F	
willet3	2023	6113	subspecies	Tringa semipalmata inornata	Willet (Western)	Charadriiformes	Scolopacidae	750C014A	
lesyel	2023	6109	species	Tringa flavipes	Lesser Yellowlegs	Charadriiformes	Scolopacidae	2C7A2673	
marsan	2023	6100	species	Tringa stagnatilis	Marsh Sandpiper	Charadriiformes	Scolopacidae	15CF9352	
comred1	2023	6102	species	Tringa totanus	Common Redshank	Charadriiformes	Scolopacidae	D6BFC73A	
smabut2	2023	6240	species	Turnix sylvaticus	Small Buttonquail	Charadriiformes	Turnicidae	0DA8BB90	
rebbut2	2023	6204	species	Turnix maculosus	Red-backed Buttonquail	Charadriiformes	Turnicidae	32878BDD	
hotbut3	2023	6254	species	Turnix nanus	Black-rumped Buttonquail	Charadriiformes	Turnicidae	0874B4D5	
hotbut1	2023	6255	species	Turnix hottentottus	Fynbos Buttonquail	Charadriiformes	Turnicidae	FE5E2530	
yelbut1	2023	6201	species	Turnix tanki	Yellow-legged Buttonquail	Charadriiformes	Turnicidae	950909C3	
spobut2	2023	6237	species	Turnix ocellatus	Spotted Buttonquail	Charadriiformes	Turnicidae	81E773CB	
barbut1	2023	6219	species	Turnix suscitator	Barred Buttonquail	Charadriiformes	Turnicidae	FDA8873B	
madbut1	2023	6263	species	Turnix nigricollis	Madagascar Buttonquail	Charadriiformes	Turnicidae	598966B2	
blbbut2	2023	6262	species	Turnix melanogaster	Black-breasted Buttonquail	Charadriiformes	Turnicidae	DE127941	
chbbut2	2023	6256	species	Turnix castanotus	Chestnut-backed Buttonquail	Charadriiformes	Turnicidae	46184F93	
bubbut1	2023	6257	species	Turnix olivii	Buff-breasted Buttonquail	Charadriiformes	Turnicidae	0D9258BF	
paibut	2023	6258	species	Turnix varius	Painted Buttonquail	Charadriiformes	Turnicidae	53E15B4C	
paibut1	2023	6261	species	Turnix novaecaledoniae	New Caledonian Buttonquail	Charadriiformes	Turnicidae	ABB5B3B0	
luzbut1	2023	6252	species	Turnix worcesteri	Luzon Buttonquail	Charadriiformes	Turnicidae	8517D68D	
sumbut1	2023	6253	species	Turnix everetti	Sumba Buttonquail	Charadriiformes	Turnicidae	C801E3DF	
recbut1	2023	6251	species	Turnix pyrrhothorax	Red-chested Buttonquail	Charadriiformes	Turnicidae	E58A7C97	
litbut1	2023	6250	species	Turnix velox	Little Buttonquail	Charadriiformes	Turnicidae	640EA208	
quailp1	2023	6265	species	Ortyxelos meiffrenii	Quail-plover	Charadriiformes	Turnicidae	B605A049	
crccou1	2023	6286	species	Cursorius cursor	Cream-colored Courser	Charadriiformes	Glareolidae	DE0A72A7	
somcou1	2023	6290	species	Cursorius somalensis	Somali Courser	Charadriiformes	Glareolidae	6091E70B	
burcou2	2023	6293	species	Cursorius rufus	Burchell's Courser	Charadriiformes	Glareolidae	5FBB9662	
temcou1	2023	6294	species	Cursorius temminckii	Temminck's Courser	Charadriiformes	Glareolidae	7A841F83	
indcou1	2023	6298	species	Cursorius coromandelicus	Indian Courser	Charadriiformes	Glareolidae	236D9272	
dobcou2	2023	6277	species	Smutsornis africanus	Double-banded Courser	Charadriiformes	Glareolidae	C130193B	
thbcou1	2023	6270	species	Rhinoptilus cinctus	Three-banded Courser	Charadriiformes	Glareolidae	29D50ED5	
brwcou1	2023	6269	species	Rhinoptilus chalcopterus	Bronze-winged Courser	Charadriiformes	Glareolidae	F5145338	
jercou1	2023	6276	species	Rhinoptilus bitorquatus	Jerdon's Courser	Charadriiformes	Glareolidae	A632F945	
auspra1	2023	6300	species	Stiltia isabella	Australian Pratincole	Charadriiformes	Glareolidae	5B08743F	
colpra	2023	6308	species	Glareola pratincola	Collared Pratincole	Charadriiformes	Glareolidae	D56ABB4E	
oripra	2023	6306	species	Glareola maldivarum	Oriental Pratincole	Charadriiformes	Glareolidae	3222F80F	
blwpra1	2023	6307	species	Glareola nordmanni	Black-winged Pratincole	Charadriiformes	Glareolidae	E1F6A875	
madpra1	2023	6314	species	Glareola ocularis	Madagascar Pratincole	Charadriiformes	Glareolidae	AC0F25BB	
rocpra1	2023	6301	species	Glareola nuchalis	Rock Pratincole	Charadriiformes	Glareolidae	95820ED1	
