species_code	authority_ver	taxon_order	category	sci_name	primary_com_name	order1	family_sci_name	bio_concept_code	
whfrob6	2023	21488	subspecies	Eopsaltria leucops nigriceps	White-faced Robin (nigriceps)	Passeriformes	Petroicidae	E4C89C35	
whfrob7	2023	21489	subspecies	Eopsaltria leucops melanogenys	White-faced Robin (melanogenys)	Passeriformes	Petroicidae	914638C2	
whfrob8	2023	21490	subspecies	Eopsaltria leucops wahgiensis	White-faced Robin (wahgiensis)	Passeriformes	Petroicidae	C5810E23	
whfrob9	2023	21491	subspecies	Eopsaltria leucops albifacies	White-faced Robin (albifacies)	Passeriformes	Petroicidae	5A83FB98	
whfstp1	2023	6865	subspecies	Pelagodroma marina hypoleuca	White-faced Storm-Petrel (hypoleuca)	Procellariiformes	Oceanitidae	9F721AE9	
whhwre3	2023	26931	subspecies	Campylorhynchus albobrunneus harterti	White-headed Wren (harterti)	Passeriformes	Troglodytidae	DE93A25D	
whfstp2	2023	6866	subspecies	Pelagodroma marina eadesorum	White-faced Storm-Petrel (eadesorum)	Procellariiformes	Oceanitidae	35B916C3	
whfstp3	2023	6867	subspecies	Pelagodroma marina marina	White-faced Storm-Petrel (marina)	Procellariiformes	Oceanitidae	58FFB6ED	
whfstp4	2023	6868	subspecies	Pelagodroma marina dulciae	White-faced Storm-Petrel (dulciae)	Procellariiformes	Oceanitidae	923CB788	
whfstp5	2023	6869	subspecies	Pelagodroma marina maoriana	White-faced Storm-Petrel (maoriana)	Procellariiformes	Oceanitidae	18413718	
whfstp6	2023	6870	subspecies	Pelagodroma marina albiclunis	White-faced Storm-Petrel (albiclunis)	Procellariiformes	Oceanitidae	B4EB9F11	
whfter2	2023	6707	subspecies	Sterna striata incerta	White-fronted Tern (incerta)	Charadriiformes	Laridae	8C252B53	
whfter3	2023	6708	subspecies	Sterna striata striata	White-fronted Tern (striata)	Charadriiformes	Laridae	41FB5AD7	
whfter4	2023	6709	subspecies	Sterna striata aucklandorna	White-fronted Tern (aucklandorna)	Charadriiformes	Laridae	815A54A5	
whftit1	2023	21631	subspecies	Sittiparus semilarvatus snowi	White-fronted Tit (snowi)	Passeriformes	Paridae	3DD9A60A	
whiwag9	2023	31204	subspecies	Motacilla alba alba	White Wagtail (alba)	Passeriformes	Motacillidae	7658B7D5	
whgfly2	2023	28604	subspecies	Anthipes monileger monileger	White-gorgeted Flycatcher (monileger)	Passeriformes	Muscicapidae	0AFCB9E5	
whgfly3	2023	28605	subspecies	Anthipes monileger leucops	White-gorgeted Flycatcher (leucops)	Passeriformes	Muscicapidae	510483A2	
dwacas1	2023	205	species	Casuarius bennetti	Dwarf Cassowary	Casuariiformes	Casuariidae	7751E0D1	
whgfly4	2023	28606	subspecies	Anthipes monileger gularis	White-gorgeted Flycatcher (gularis)	Passeriformes	Muscicapidae	F8A54B0D	
reltin4	2023	99	subspecies	Crypturellus erythropus idoneus	Red-legged Tinamou (idoneus)	Tinamiformes	Tinamidae	4B657197	
whifly2	2023	15831	subspecies	Myiobius barbatus semiflavus	Whiskered Flycatcher (semiflavus)	Passeriformes	Oxyruncidae	00F62830	
whhbar8	2023	10445	subspecies	Lybius leucocephalus lynesi	White-headed Barbet (lynesi)	Piciformes	Lybiidae	57D79F23	
whhbar6	2023	10443	subspecies	Lybius leucocephalus adamauae	White-headed Barbet (adamauae)	Piciformes	Lybiidae	53AB4861	
whhbuw2	2023	30196	subspecies	Dinemellia dinemelli boehmi	White-headed Buffalo-Weaver (boehmi)	Passeriformes	Ploceidae	DC2E7614	
whhmou2	2023	9214	subspecies	Colius leucocephalus leucocephalus	White-headed Mousebird (leucocephalus)	Coliiformes	Coliidae	2D3DF73E	
whhmou3	2023	9215	subspecies	Colius leucocephalus turneri	White-headed Mousebird (turneri)	Coliiformes	Coliidae	A7D7C3D0	
whhmun2	2023	30616	subspecies	Lonchura maja maja	White-headed Munia (maja)	Passeriformes	Estrildidae	91B38DEE	
whhmun3	2023	30617	subspecies	Lonchura maja vietnamensis	White-headed Munia (vietnamensis)	Passeriformes	Estrildidae	AB4EE79E	
whhsta1	2023	27397	subspecies	Sturnia erythropygia erythropygia	White-headed Starling (erythropygia)	Passeriformes	Sturnidae	AA296F38	
whhsta3	2023	27398	subspecies	Sturnia erythropygia andamanensis	White-headed Starling (andamanensis)	Passeriformes	Sturnidae	FE336B4D	
whhsta4	2023	27399	subspecies	Sturnia erythropygia katchalensis	White-headed Starling (katchalensis)	Passeriformes	Sturnidae	0104B324	
whhbar7	2023	10444	subspecies	Lybius leucocephalus albicauda	White-headed Barbet (albicauda)	Piciformes	Lybiidae	A7F8EBC7	
whhbar5	2023	10442	subspecies	Lybius leucocephalus leucocephalus	White-headed Barbet (leucocephalus)	Piciformes	Lybiidae	28F36FFE	
whhwoo6	2023	11227	subspecies	Dryobates albolarvatus albolarvatus	White-headed Woodpecker (albolarvatus)	Piciformes	Picidae	18C60D6B	
whhwoo7	2023	11228	subspecies	Dryobates albolarvatus gravirostris	White-headed Woodpecker (gravirostris)	Piciformes	Picidae	0F771A48	
whhwre2	2023	26930	subspecies	Campylorhynchus albobrunneus albobrunneus	White-headed Wren (albobrunneus)	Passeriformes	Troglodytidae	74F1D51F	
whicis2	2023	22958	subspecies	Cisticola lateralis lateralis	Whistling Cisticola (lateralis)	Passeriformes	Cisticolidae	BF16B068	
whicis3	2023	22959	subspecies	Cisticola lateralis antinorii	Whistling Cisticola (antinorii)	Passeriformes	Cisticolidae	6F17265A	
whicis4	2023	22960	subspecies	Cisticola lateralis modestus	Whistling Cisticola (modestus)	Passeriformes	Cisticolidae	B42BE703	
whieap3	2023	1461	subspecies	Crossoptilon crossoptilon drouynii	White Eared-Pheasant (drouynii)	Galliformes	Phasianidae	8021F3ED	
whieap4	2023	1462	subspecies	Crossoptilon crossoptilon dolani	White Eared-Pheasant (dolani)	Galliformes	Phasianidae	ADC753C2	
whieap6	2023	1464	subspecies	Crossoptilon crossoptilon lichiangense	White Eared-Pheasant (lichiangense)	Galliformes	Phasianidae	E9496AD3	
whhwoo4	2023	9424	subspecies	Phoeniculus bollei jacksoni	White-headed Woodhoopoe (jacksoni)	Bucerotiformes	Phoeniculidae	B950CD2E	
whhwoo5	2023	9425	subspecies	Phoeniculus bollei bollei	White-headed Woodhoopoe (bollei)	Bucerotiformes	Phoeniculidae	8C3331C0	
whiter7	2023	6661	subspecies	Chlidonias hybrida delalandii	Whiskered Tern (delalandii)	Charadriiformes	Laridae	B4D72DA1	
whiter8	2023	6662	subspecies	Chlidonias hybrida javanicus	Whiskered Tern (javanicus)	Charadriiformes	Laridae	DA09D309	
whithr1	2023	27749	subspecies	Zoothera aurea aurea	White's Thrush (aurea)	Passeriformes	Turdidae	B0B80C0D	
whitre2	2023	4184	subspecies	Hemiprocne comata comata	Whiskered Treeswift (comata)	Caprimulgiformes	Hemiprocnidae	AEF44869	
whitre3	2023	4185	subspecies	Hemiprocne comata major	Whiskered Treeswift (major)	Caprimulgiformes	Hemiprocnidae	42070A6D	
whnbru5	2023	32916	subspecies	Atlapetes albinucha coloratus	White-naped Brushfinch (coloratus)	Passeriformes	Passerellidae	281E79ED	
whiwar3	2023	24490	subspecies	Phylloscopus whistleri whistleri	Whistler's Warbler (whistleri)	Passeriformes	Phylloscopidae	CA5DD826	
whiwar4	2023	24491	subspecies	Phylloscopus whistleri nemoralis	Whistler's Warbler (nemoralis)	Passeriformes	Phylloscopidae	68832902	
whiwre2	2023	27002	subspecies	Pheugopedius mystacalis saltuensis	Whiskered Wren (saltuensis)	Passeriformes	Troglodytidae	0C2CB4C7	
whiwre3	2023	27003	subspecies	Pheugopedius mystacalis yananchae	Whiskered Wren (yananchae)	Passeriformes	Troglodytidae	981958EE	
whiwre4	2023	27004	subspecies	Pheugopedius mystacalis mystacalis	Whiskered Wren (mystacalis)	Passeriformes	Troglodytidae	47B93270	
whiwag10	2023	31205	subspecies	Motacilla alba dukhunensis	White Wagtail (dukhunensis)	Passeriformes	Motacillidae	0E9844A8	
whiter1	2023	6574	subspecies	Gygis alba candida	White Tern (candida)	Charadriiformes	Laridae	4AF5F3C4	
whiter6	2023	6575	subspecies	Gygis alba leucopes	White Tern (leucopes)	Charadriiformes	Laridae	F4C855E8	
whnbru4	2023	32915	subspecies	Atlapetes albinucha brunnescens	White-naped Brushfinch (brunnescens)	Passeriformes	Passerellidae	762F6EDB	
whnbru7	2023	32918	subspecies	Atlapetes albinucha gutturalis	White-naped Brushfinch (gutturalis)	Passeriformes	Passerellidae	E92C9E38	
whnbru2	2023	32913	subspecies	Atlapetes albinucha fuscipygius	White-naped Brushfinch (fuscipygius)	Passeriformes	Passerellidae	2000235C	
whnjac2	2023	4204	subspecies	Florisuga mellivora mellivora	White-necked Jacobin (mellivora)	Caprimulgiformes	Trochilidae	B523B7F5	
whnjac3	2023	4205	subspecies	Florisuga mellivora flabellifera	White-necked Jacobin (flabellifera)	Caprimulgiformes	Trochilidae	FCDDEB10	
whnmon2	2023	20450	subspecies	Carterornis pileatus buruensis	White-naped Monarch (buruensis)	Passeriformes	Monarchidae	4743B00C	
whnmon3	2023	20451	subspecies	Carterornis pileatus pileatus	White-naped Monarch (pileatus)	Passeriformes	Monarchidae	AE6C3BBD	
whnpar3	2023	1145	subspecies	Arborophila gingica guangxiensis	White-necklaced Partridge (guangxiensis)	Galliformes	Phasianidae	CFB9A7BC	
whnpar4	2023	1146	subspecies	Arborophila gingica gingica	White-necklaced Partridge (gingica)	Galliformes	Phasianidae	E5E2685B	
whnpuf3	2023	10166	subspecies	Notharchus hyperrhynchus hyperrhynchus	White-necked Puffbird (hyperrhynchus)	Galbuliformes	Bucconidae	A71D2D42	
whnbru3	2023	32914	subspecies	Atlapetes albinucha parvirostris	White-naped Brushfinch (parvirostris)	Passeriformes	Passerellidae	B418E8ED	
whnswi4	2023	4038	subspecies	Aerodramus fuciphagus perplexus	White-nest Swiftlet (perplexus)	Caprimulgiformes	Apodidae	F1F249FA	
whnswi5	2023	4039	subspecies	Aerodramus fuciphagus fuciphagus	White-nest Swiftlet (fuciphagus)	Caprimulgiformes	Apodidae	C40B426D	
whnswi6	2023	4040	subspecies	Aerodramus fuciphagus dammermani	White-nest Swiftlet (dammermani)	Caprimulgiformes	Apodidae	4D19B619	
whnswi7	2023	4041	subspecies	Aerodramus fuciphagus micans	White-nest Swiftlet (micans)	Caprimulgiformes	Apodidae	0943CCD4	
bahgoo	2023	254	species	Anser indicus	Bar-headed Goose	Anseriformes	Anatidae	B7159EF0	
whomot4	2023	9584	subspecies	Momotus subrufescens subrufescens	Whooping Motmot (subrufescens)	Coraciiformes	Momotidae	88947BB0	
whnthr9	2023	28038	subspecies	Turdus albicollis paraguayensis	White-necked Thrush (paraguayensis)	Passeriformes	Turdidae	602CB1E1	
whomot3	2023	9583	subspecies	Momotus subrufescens spatha	Whooping Motmot (spatha)	Coraciiformes	Momotidae	264D3582	
whnthr4	2023	28032	subspecies	Turdus albicollis phaeopygus	White-necked Thrush (phaeopygus)	Passeriformes	Turdidae	64D69106	
whnthr7	2023	28036	subspecies	Turdus albicollis crotopezus	White-necked Thrush (crotopezus)	Passeriformes	Turdidae	54470EE6	
yelhon3	2023	17459	subspecies	Stomiopera flava addenda	Yellow Honeyeater (addenda)	Passeriformes	Meliphagidae	30EF0DB8	
whnthr8	2023	28037	subspecies	Turdus albicollis albicollis	White-necked Thrush (albicollis)	Passeriformes	Turdidae	EE42B984	
whnwoo2	2023	11316	subspecies	Chrysocolaptes festivus festivus	White-naped Woodpecker (festivus)	Piciformes	Picidae	456C72BE	
whnwoo3	2023	11317	subspecies	Chrysocolaptes festivus tantus	White-naped Woodpecker (tantus)	Piciformes	Picidae	0BA74688	
whnxen2	2023	15723	subspecies	Xenopsaris albinucha albinucha	White-naped Xenopsaris (albinucha)	Passeriformes	Tityridae	378DC66C	
whnxen3	2023	15724	subspecies	Xenopsaris albinucha minor	White-naped Xenopsaris (minor)	Passeriformes	Tityridae	B70A2227	
whomot5	2023	9585	subspecies	Momotus subrufescens osgoodi	Whooping Motmot (osgoodi)	Coraciiformes	Momotidae	B01ED875	
whnthr5	2023	28033	subspecies	Turdus albicollis spodiolaemus	White-necked Thrush (spodiolaemus)	Passeriformes	Turdidae	D287D440	
whpant2	2023	13807	subspecies	Pithys albifrons peruvianus	White-plumed Antbird (peruvianus)	Passeriformes	Thamnophilidae	E0F7D9A8	
whpant3	2023	13808	subspecies	Pithys albifrons albifrons	White-plumed Antbird (albifrons)	Passeriformes	Thamnophilidae	BF61A255	
whphon2	2023	17558	subspecies	Ptilotula penicillata penicillata	White-plumed Honeyeater (penicillata)	Passeriformes	Meliphagidae	0D327239	
whphon3	2023	17559	subspecies	Ptilotula penicillata leilavalensis	White-plumed Honeyeater (leilavalensis)	Passeriformes	Meliphagidae	F1078532	
whphon4	2023	17560	subspecies	Ptilotula penicillata carteri	White-plumed Honeyeater (carteri)	Passeriformes	Meliphagidae	C3D3E0D8	
whphon5	2023	17561	subspecies	Ptilotula penicillata calconi	White-plumed Honeyeater (calconi)	Passeriformes	Meliphagidae	CFD5D94D	
whqbus2	2023	2954	subspecies	Afrotis afraoides etoschae	White-quilled Bustard (etoschae)	Otidiformes	Otididae	BFD55417	
whqrop1	2023	2247	subspecies	Petrophassa albipennis albipennis	White-quilled Rock-Pigeon (albipennis)	Columbiformes	Columbidae	A37DE9FE	
whqrop2	2023	2248	subspecies	Petrophassa albipennis boothi	White-quilled Rock-Pigeon (boothi)	Columbiformes	Columbidae	BCCC77D3	
whrbab1	2023	26218	subspecies	Turdoides leucopygia limbata	White-rumped Babbler (limbata)	Passeriformes	Leiothrichidae	B699BB46	
whrbab3	2023	26219	subspecies	Turdoides leucopygia leucopygia	White-rumped Babbler (leucopygia)	Passeriformes	Leiothrichidae	77619BA2	
whnthr6	2023	28035	subspecies	Turdus albicollis contemptus	White-necked Thrush (contemptus)	Passeriformes	Turdidae	D6E03758	
whrbab6	2023	26222	subspecies	Turdoides leucopygia smithii	White-rumped Babbler (smithii)	Passeriformes	Leiothrichidae	21B91523	
whrfly1	2023	17100	subspecies	Conopias albovittatus albovittatus	White-ringed Flycatcher (albovittatus)	Passeriformes	Tyrannidae	1F8A130C	
whrfly2	2023	17101	subspecies	Conopias albovittatus distinctus	White-ringed Flycatcher (distinctus)	Passeriformes	Tyrannidae	859E3529	
whrman3	2023	15423	subspecies	Corapipo altera heteroleuca	White-ruffed Manakin (heteroleuca)	Passeriformes	Pipridae	59EA25D1	
whrmun1	2023	30579	subspecies	Lonchura striata acuticauda	White-rumped Munia (acuticauda)	Passeriformes	Estrildidae	0776F038	
whrmun2	2023	30580	subspecies	Lonchura striata striata	White-rumped Munia (striata)	Passeriformes	Estrildidae	C5AB12E5	
whrmun4	2023	30582	subspecies	Lonchura striata semistriata	White-rumped Munia (semistriata)	Passeriformes	Estrildidae	3E8AC863	
whrmun5	2023	30583	subspecies	Lonchura striata swinhoei	White-rumped Munia (swinhoei)	Passeriformes	Estrildidae	3DBBAA55	
whrmun6	2023	30584	subspecies	Lonchura striata subsquamicollis	White-rumped Munia (subsquamicollis)	Passeriformes	Estrildidae	E6E21D36	
whrmun7	2023	30585	subspecies	Lonchura striata explita	White-rumped Munia (explita)	Passeriformes	Estrildidae	BD817D6D	
whrrob1	2023	21452	subspecies	Melanodryas bimaculata bimaculata	White-rumped Robin (bimaculata)	Passeriformes	Petroicidae	5A07CD8A	
whrrob3	2023	21453	subspecies	Melanodryas bimaculata vicaria	White-rumped Robin (vicaria)	Passeriformes	Petroicidae	60897FE4	
whrfal3	2023	11754	subspecies	Neohierax insignis cinereiceps	White-rumped Falcon (cinereiceps)	Falconiformes	Falconidae	8A570B1B	
whrfal4	2023	11755	subspecies	Neohierax insignis harmandi	White-rumped Falcon (harmandi)	Falconiformes	Falconidae	FE25E4B2	
norboo4	2023	9156	subspecies	Ninox japonica japonica	Northern Boobook (japonica)	Strigiformes	Strigidae	0DEC15E1	
elachu1	2023	27193	family	Elachuridae	Spotted Elachura	Passeriformes	Elachuridae		
whrsee1	2023	31844	subspecies	Crithagra leucopygia riggenbachi	White-rumped Seedeater (riggenbachi)	Passeriformes	Fringillidae	F95A06C5	
whrsee2	2023	31845	subspecies	Crithagra leucopygia leucopygia	White-rumped Seedeater (leucopygia)	Passeriformes	Fringillidae	A90F3103	
whrsha10	2023	28526	subspecies	Copsychus malabaricus suavis	White-rumped Shama (suavis)	Passeriformes	Muscicapidae	CA674869	
whrsha8	2023	28524	subspecies	Copsychus malabaricus javanus	White-rumped Shama (javanus)	Passeriformes	Muscicapidae	D584059A	
norfis3	2023	20746	subspecies	Lanius humeralis humeralis	Northern Fiscal (humeralis)	Passeriformes	Laniidae	0E875F99	
whrsha15	2023	28533	subspecies	Copsychus malabaricus mirabilis	White-rumped Shama (mirabilis)	Passeriformes	Muscicapidae	71CC3FDA	
whrsha9	2023	28525	subspecies	Copsychus malabaricus omissus	White-rumped Shama (omissus)	Passeriformes	Muscicapidae	A168FBDE	
whrsha11	2023	28527	subspecies	Copsychus malabaricus nigricauda	White-rumped Shama (nigricauda)	Passeriformes	Muscicapidae	B3830C82	
whrsha7	2023	28523	subspecies	Copsychus malabaricus tricolor	White-rumped Shama (tricolor)	Passeriformes	Muscicapidae	481A1450	
whrsha12	2023	28530	subspecies	Copsychus malabaricus hypolizus	White-rumped Shama (hypolizus)	Passeriformes	Muscicapidae	ECC5BA13	
whrswi10	2023	3979	subspecies	Aerodramus spodiopygius leucopygius	White-rumped Swiftlet (leucopygius)	Caprimulgiformes	Apodidae	EC2B8D34	
whrswi3	2023	3972	subspecies	Aerodramus spodiopygius delichon	White-rumped Swiftlet (delichon)	Caprimulgiformes	Apodidae	65E0E6CB	
whrswi4	2023	3973	subspecies	Aerodramus spodiopygius eichhorni	White-rumped Swiftlet (eichhorni)	Caprimulgiformes	Apodidae	E1E6CBF4	
whrswi5	2023	3974	subspecies	Aerodramus spodiopygius noonaedanae	White-rumped Swiftlet (noonaedanae)	Caprimulgiformes	Apodidae	F80F2172	
whrswi6	2023	3975	subspecies	Aerodramus spodiopygius reichenowi	White-rumped Swiftlet (reichenowi)	Caprimulgiformes	Apodidae	E9FB514D	
whrswi7	2023	3976	subspecies	Aerodramus spodiopygius desolatus	White-rumped Swiftlet (desolatus)	Caprimulgiformes	Apodidae	E0D84E98	
whrswi8	2023	3977	subspecies	Aerodramus spodiopygius epiensis	White-rumped Swiftlet (epiensis)	Caprimulgiformes	Apodidae	16B273EB	
whrswi9	2023	3978	subspecies	Aerodramus spodiopygius ingens	White-rumped Swiftlet (ingens)	Caprimulgiformes	Apodidae	A97F8618	
whrtan2	2023	34877	subspecies	Cypsnagra hirundinacea pallidigula	White-rumped Tanager (pallidigula)	Passeriformes	Thraupidae	2336237E	
whrtan3	2023	34878	subspecies	Cypsnagra hirundinacea hirundinacea	White-rumped Tanager (hirundinacea)	Passeriformes	Thraupidae	B7B273DB	
whsant10	2023	13336	subspecies	Thamnophilus aethiops injunctus	White-shouldered Antshrike (injunctus)	Passeriformes	Thamnophilidae	9195BD2E	
rubwre9	2023	27031	subspecies	Pheugopedius rutilus hypospodius	Rufous-breasted Wren (hypospodius)	Passeriformes	Troglodytidae	717C7CDD	
whsant11	2023	13337	subspecies	Thamnophilus aethiops punctuliger	White-shouldered Antshrike (punctuliger)	Passeriformes	Thamnophilidae	38CCA838	
whsant12	2023	13338	subspecies	Thamnophilus aethiops atriceps	White-shouldered Antshrike (atriceps)	Passeriformes	Thamnophilidae	D7ED1FE8	
whsant13	2023	13339	subspecies	Thamnophilus aethiops incertus	White-shouldered Antshrike (incertus)	Passeriformes	Thamnophilidae	EFF6BAD4	
whrsha16	2023	28535	subspecies	Copsychus stricklandii stricklandii	White-crowned Shama (stricklandii)	Passeriformes	Muscicapidae	8C978D58	
whsant14	2023	13340	subspecies	Thamnophilus aethiops distans	White-shouldered Antshrike (distans)	Passeriformes	Thamnophilidae	6ED02871	
whsflo2	2023	34737	subspecies	Diglossa albilatera federalis	White-sided Flowerpiercer (federalis)	Passeriformes	Thraupidae	54E2303E	
whsflo3	2023	34738	subspecies	Diglossa albilatera albilatera	White-sided Flowerpiercer (albilatera)	Passeriformes	Thraupidae	A5693813	
whsflo5	2023	34740	subspecies	Diglossa albilatera affinis	White-sided Flowerpiercer (affinis)	Passeriformes	Thraupidae	62CB7289	
whtdov14	2023	2354	subspecies	Leptotila verreauxi approximans	White-tipped Dove (approximans)	Columbiformes	Columbidae	0AF61CC0	
whsflu4	2023	5192	subspecies	Sarothrura pulchra pulchra	White-spotted Flufftail (pulchra)	Gruiformes	Sarothruridae	0811E972	
whsrob10	2023	28775	subspecies	Pogonocichla stellata transvaalensis	White-starred Robin (transvaalensis)	Passeriformes	Muscicapidae	6C31B127	
whsrob11	2023	28776	subspecies	Pogonocichla stellata stellata	White-starred Robin (stellata)	Passeriformes	Muscicapidae	3C3AE4BF	
whsrob2	2023	28767	subspecies	Pogonocichla stellata intensa	White-starred Robin (intensa)	Passeriformes	Muscicapidae	B56A524C	
whsrob3	2023	28768	subspecies	Pogonocichla stellata ruwenzorii	White-starred Robin (ruwenzorii)	Passeriformes	Muscicapidae	E86E5E9F	
whsrob4	2023	28769	subspecies	Pogonocichla stellata guttifer	White-starred Robin (guttifer)	Passeriformes	Muscicapidae	1A0D5BEE	
whsrob5	2023	28770	subspecies	Pogonocichla stellata elgonensis	White-starred Robin (elgonensis)	Passeriformes	Muscicapidae	28092348	
whsflu6	2023	5194	subspecies	Sarothrura pulchra batesi	White-spotted Flufftail (batesi)	Gruiformes	Sarothruridae	3DD2EAF3	
whsflu5	2023	5193	subspecies	Sarothrura pulchra zenkeri	White-spotted Flufftail (zenkeri)	Gruiformes	Sarothruridae	4836E9FD	
whsrob9	2023	28774	subspecies	Pogonocichla stellata orientalis	White-starred Robin (orientalis)	Passeriformes	Muscicapidae	CD95F117	
whtant3	2023	27693	subspecies	Neocossyphus poensis poensis	White-tailed Ant-Thrush (poensis)	Passeriformes	Turdidae	E80FB093	
whtant4	2023	27694	subspecies	Neocossyphus poensis praepectoralis	White-tailed Ant-Thrush (praepectoralis)	Passeriformes	Turdidae	466DE21B	
whtant5	2023	27695	subspecies	Neocossyphus poensis kakamegoes	White-tailed Ant-Thrush (kakamegoes)	Passeriformes	Turdidae	0D37CDE3	
whtant6	2023	27696	subspecies	Neocossyphus poensis nigridorsalis	White-tailed Ant-Thrush (nigridorsalis)	Passeriformes	Turdidae	36416FAB	
whtant7	2023	27697	subspecies	Neocossyphus poensis pallidigularis	White-tailed Ant-Thrush (pallidigularis)	Passeriformes	Turdidae	B42ABEDD	
whtbul3	2023	24054	subspecies	Alophoixus flaveolus burmanicus	White-throated Bulbul (burmanicus)	Passeriformes	Pycnonotidae	8A6E6C26	
pietri4	2023	18493	subspecies	Lalage nigra nigra	Pied Triller (nigra)	Passeriformes	Campephagidae	C9C08B26	
whtcan3	2023	31903	subspecies	Crithagra albogularis sordahlae	White-throated Canary (sordahlae)	Passeriformes	Fringillidae	41284AFE	
whtcan4	2023	31904	subspecies	Crithagra albogularis albogularis	White-throated Canary (albogularis)	Passeriformes	Fringillidae	B314C931	
whtcan5	2023	31905	subspecies	Crithagra albogularis orangensis	White-throated Canary (orangensis)	Passeriformes	Fringillidae	753CBDD7	
whtcra5	2023	5616	subspecies	Laterallus albigularis cerdaleus	White-throated Crake (cerdaleus)	Gruiformes	Rallidae	E6B9E0F9	
whtdov13	2023	2353	subspecies	Leptotila verreauxi brasiliensis	White-tipped Dove (brasiliensis)	Columbiformes	Columbidae	13C17A18	
whtcrf1	2023	21533	subspecies	Elminia albonotata albonotata	White-tailed Crested Flycatcher (albonotata)	Passeriformes	Stenostiridae	C1DD0C5E	
whtcrf2	2023	21534	subspecies	Elminia albonotata subcaerulea	White-tailed Crested Flycatcher (subcaerulea)	Passeriformes	Stenostiridae	ABEDCCFE	
andtin9	2023	158	subspecies	Nothoprocta pentlandii patriciae	Andean Tinamou (patriciae)	Tinamiformes	Tinamidae	59E78456	
whtcrf3	2023	21535	subspecies	Elminia albonotata swynnertoni	White-tailed Crested Flycatcher (swynnertoni)	Passeriformes	Stenostiridae	EDD293F0	
whtdip10	2023	27205	subspecies	Cinclus cinclus persicus	White-throated Dipper (persicus)	Passeriformes	Cinclidae	68D3F204	
whtdip11	2023	27206	subspecies	Cinclus cinclus uralensis	White-throated Dipper (uralensis)	Passeriformes	Cinclidae	1C236A45	
whtdip12	2023	27207	subspecies	Cinclus cinclus leucogaster	White-throated Dipper (leucogaster)	Passeriformes	Cinclidae	A2BA2F43	
whtdip13	2023	27208	subspecies	Cinclus cinclus cashmeriensis	White-throated Dipper (cashmeriensis)	Passeriformes	Cinclidae	EA115629	
whtdip14	2023	27209	subspecies	Cinclus cinclus przewalskii	White-throated Dipper (przewalskii)	Passeriformes	Cinclidae	9A169A15	
whtdip2	2023	27197	subspecies	Cinclus cinclus hibernicus	White-throated Dipper (hibernicus)	Passeriformes	Cinclidae	EDBE77A2	
norfli4	2023	11669	subspecies	Colaptes auratus luteus	Northern Flicker (luteus)	Piciformes	Picidae	5519B5E4	
whtdov11	2023	2349	subspecies	Leptotila verreauxi zapluta	White-tipped Dove (zapluta)	Columbiformes	Columbidae	1E876A3F	
whtdov12	2023	2350	subspecies	Leptotila verreauxi tobagensis	White-tipped Dove (tobagensis)	Columbiformes	Columbidae	F2B6371D	
whtdov9	2023	2347	subspecies	Leptotila verreauxi riottei	White-tipped Dove (riottei)	Columbiformes	Columbidae	A76D0F9D	
whtdov5	2023	2343	subspecies	Leptotila verreauxi angelica	White-tipped Dove (angelica)	Columbiformes	Columbidae	250842A4	
whtdov8	2023	2346	subspecies	Leptotila verreauxi nuttingi	White-tipped Dove (nuttingi)	Columbiformes	Columbidae	4BC86097	
whtdov6	2023	2344	subspecies	Leptotila verreauxi fulviventris	White-tipped Dove (fulviventris)	Columbiformes	Columbidae	53F9A1D6	
amatro1	2023	9339	subspecies	Trogon ramonianus ramonianus	Amazonian Trogon (ramonianus)	Trogoniformes	Trogonidae	87BA4F81	
whtdov16	2023	2356	subspecies	Leptotila verreauxi chalcauchenia	White-tipped Dove (chalcauchenia)	Columbiformes	Columbidae	E4EE5AB8	
whtfan2	2023	19901	subspecies	Rhipidura albicollis canescens	White-throated Fantail (canescens)	Passeriformes	Rhipiduridae	F398D9CA	
whtfan3	2023	19902	subspecies	Rhipidura albicollis albicollis	White-throated Fantail (albicollis)	Passeriformes	Rhipiduridae	878CAB25	
whtfan4	2023	19903	subspecies	Rhipidura albicollis orissae	White-throated Fantail (orissae)	Passeriformes	Rhipiduridae	25643A77	
whtfan5	2023	19904	subspecies	Rhipidura albicollis stanleyi	White-throated Fantail (stanleyi)	Passeriformes	Rhipiduridae	FD47C3FF	
whtfan6	2023	19905	subspecies	Rhipidura albicollis celsa	White-throated Fantail (celsa)	Passeriformes	Rhipiduridae	9C63DF2C	
whtfan7	2023	19906	subspecies	Rhipidura albicollis atrata	White-throated Fantail (atrata)	Passeriformes	Rhipiduridae	4B09366D	
whtfan8	2023	19907	subspecies	Rhipidura albicollis sarawacensis	White-throated Fantail (sarawacensis)	Passeriformes	Rhipiduridae	2DD9214E	
whtfan9	2023	19908	subspecies	Rhipidura albicollis kinabalu	White-throated Fantail (kinabalu)	Passeriformes	Rhipiduridae	F179F458	
whtfog4	2023	14905	subspecies	Syndactyla roraimae roraimae	White-throated Foliage-gleaner (roraimae)	Passeriformes	Furnariidae	3A1A3706	
whtger2	2023	18128	subspecies	Gerygone olivacea cinerascens	White-throated Gerygone (cinerascens)	Passeriformes	Acanthizidae	C3D2C78D	
