"species.code","dist"
"abbbab1",2380.41314452775
"abbboo2",10721.361360771
"abbsta2",791.60988773942
"abbwar1",6275.82565828306
"abcwin1",3911.69039049385
"abdsto1",10286.5173973242
"abecis1",182.720007195704
"abethr1",1692.46339188348
"abetow",151.01205520531
"abgthr1",3268.80421230432
"abhori1",2302.26571177424
"absbil1",2910.82440348265
"absfin1",980.041524767257
"abttyr1",2849.97734127989
"abycat1",1999.38245296024
"abylon1",2293.86125000125
"abyrol2",10278.2472371308
"abysis1",1461.43708891588
"abyslf1",1455.56740269128
"abythr1",1643.73927209736
"abywoo1",3315.55397297108
"acafly",7602.04105876434
"acowoo",981.244873906291
"acrtot1",776.854386060118
"adewar1",84.5324338601444
"adtdov1",7030.77843407992
"afbduc1",3448.93060967411
"afbfly1",3294.67365928511
"afbowl1",3891.18150791674
"afbtit2",2783.08164613852
"afbwar1",3589.42302220294
"afcdov1",17418.7069022106
"afcfly1",3013.36704633888
"afdfly1",3131.91583995243
"afdwar1",8343.70963833459
"afecuc1",5131.12753924935
"afepig1",14777.3902947226
"affeag1",3394.13452011433
"afffin",5426.3783627895
"afffly1",6545.27759543301
"afgfly1",1581.33561266818
"afghor1",6958.03444879912
"afgori2",8365.3759389297
"afgowl1",5152.40094562207
"afgwea1",3605.76401669506
"afhbab1",4493.74003013305
"afhbab3",10130.8550633979
"afhhaw1",5252.32223886016
"afmdov1",5278.64656837074
"afmhar1",5084.15965792244
"afmwea",1477.99053528195
"afpfly1",3159.00314005848
"afphor2",1898.46242157975
"afphor3",2617.58419818217
"afpkin1",5682.72637224436
"afpsta1",1004.06917941668
"afpswi1",2800.34046128659
"afptit1",3738.9448110351
"afpwag1",1821.27616697728
"afrbro1",5979.33029479807
"afrcha1",3261.97891208974
"afrcit1",1302.56406448342
"afrcra1",9758.16022049808
"afrcuc1",10657.3014040317
"afrcuh1",10095.9397691859
"afrfin1",9192.27318304595
"afrgos1",4730.70359221952
"afrgrp1",2121.47561123803
"afrhae1",9169.66631096212
"afrhob1",12794.3737112028
"afrjac1",3910.15916137079
"afrope1",4502.18110876204
"afroys1",1538.96369895864
"afrpic1",7244.56404050347
"afrpip1",1833.73193632818
"afrpit1",14669.9646796806
"afrpyg1",7647.11687017353
"afrrai1",9960.06887487406
"afrshf1",10306.2416660875
"afrsil1",10245.0728033989
"afrski1",8489.77207434493
"afrsni1",6665.20999057577
"afrspo1",2174.44062963372
"afrsto1",2379.17200613611
"afrswi1",5865.94469371575
"afrtai2",1182.45075086535
"afrthr1",4471.86648847562
"afsowl1",12830.3534847798
"afswar1",1740.12025872767
"afwowl1",8142.22527706812
"afywar1",5695.09136516562
"afywhe1",1625.81643679821
"afywhe2",7236.82108536024
"afywhe3",727.159284561741
"afywhe4",1977.77385167309
"agaher1",6145.29362394817
"agitit1",1500.04941207973
"ahafra2",6345.63344137838
"akekee",1.41464617797737e-12
"akeowl1",6237.59485680793
"akepa1",38.8077347473779
"akiapo",50.6713848642047
"akikik",0
"alaant1",2.79201700108295e-12
"alatyr1",287.492600367869
"alblyr1",115.836074647578
"aldfly",18208.3266820294
"aleowl1",556.31044180658
"alepar1",10895.2980572001
"alepar2",2168.85249113188
"aleswi1",699.611147316075
"aleter1",27706.45654511
"alfant1",2981.40977137933
"algnut1",193.724127461353
"allant1",756.18303763568
