Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Acanthiza inornata,Western Thornbill,Acanthiza inornata,Oceania,1.148979592,0.603458903,1.69450028,21.60408163,20.9436771,22.26448617,35.16326531,34.89282675,35.43370387,1
Acanthiza iredalei,Slender-billed Thornbill,Acanthiza iredalei,Oceania,1.362,0.85067208,1.87332792,12.48,12.14209939,12.81790061,22.326,21.97476944,22.67723056,0
Acanthiza katherina,Mountain Thornbill,Acanthiza katherina,Oceania,0,0,0,4.06,3.94902303,4.17097697,8.154,8.028230665,8.279769335,0
Acanthiza lineata,Striated Thornbill,Acanthiza lineata,Oceania,1.829166667,1.306679648,2.351653685,31.18958333,30.39636565,31.98280102,42.225,41.91074057,42.53925943,2
Acanthiza nana,Yellow Thornbill,Acanthiza nana,Oceania,16.656,16.36732336,16.94467664,42.45,42.29082147,42.60917853,50,50,50,0
Acanthiza pusilla,Brown Thornbill,Acanthiza pusilla,Oceania,9.098,8.123406898,10.0725931,49.498,49.35615521,49.63984479,50,50,50,0
Acanthiza reguloides,Buff-rumped Thornbill,Acanthiza reguloides,Oceania,4.794,3.956434891,5.631565109,35.142,34.93197022,35.35202978,40.27,40.18690186,40.35309814,0
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthiza uropygialis,Oceania,0.016,0,0.036785101,7.472,7.330031432,7.613968568,16.73,16.52798903,16.93201097,0
Acanthorhynchus superciliosus,Western Spinebill,Acanthorhynchus superciliosus,Oceania,7.06122449,6.173637283,7.948811696,23.17142857,22.29528597,24.04757117,34.23265306,33.69800224,34.76730389,1
Acanthorhynchus tenuirostris,Eastern Spinebill,Acanthorhynchus tenuirostris,Oceania,0.204444444,0,0.470445079,49.65555556,49.46866958,49.84244153,50,50,50,5
Acanthornis magna,Scrubtit,Acanthornis magna,Oceania,3.376,2.77164804,3.98035196,12.194,12.04463718,12.34336282,17.862,17.52071431,18.20328569,0
Accipiter badius,Shikra,Accipiter badius,Africa,31.055,26.02718462,36.08281538,49.66,49.39554676,49.92445324,49.7925,49.5912768,49.9937232,10
Accipiter badius,Shikra,Accipiter badius,Asia,38.59,38.09686692,39.08313308,47.952,47.71966768,48.18433232,49.66,49.55734152,49.76265848,0
