Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Copsychus fulicatus,Indian Robin,Saxicoloides fulicatus,Asia,29.722,29.53831055,29.90568945,42.458,42.32713745,42.58886255,47.888,47.72759766,48.04840234,0
Copsychus malabaricus,White-rumped Shama,Kittacincla malabarica,North_America,30.008,29.55433312,30.46166688,46.794,46.37274429,47.21525571,49.932,49.84366332,50,0
Copsychus malabaricus,White-rumped Shama,Kittacincla malabarica,Asia,1.852,1.299326185,2.404673815,15.676,15.46195923,15.89004077,30.518,30.28294275,30.75305725,0
Copsychus mindanensis,Philippine Magpie-Robin,Copsychus mindanensis,Asia,20.938,19.75930398,22.11669602,39,38.68359621,39.31640379,47.89,47.35196477,48.42803523,0
Copsychus saularis,Oriental Magpie-Robin,Copsychus saularis,Asia,46.988,46.25801062,47.71798938,50,50,50,50,50,50,0
Coracias abyssinicus,Abyssinian Roller,Coracias abyssinicus,Africa,3.048,2.143472775,3.952527225,29.27,28.7928829,29.7471171,45.348,44.9559315,45.7400685,0
Coracias affinis,Indochinese Roller,Coracias affinis,Asia,38.49555556,34.4273891,42.56372201,50,50,50,50,50,50,5
Coracias benghalensis,Indian Roller,Coracias benghalensis,Asia,29.772,29.70108562,29.84291438,39.586,39.50300471,39.66899529,48.672,48.50468679,48.83931321,0
Coracias caudatus,Lilac-breasted Roller,Coracias caudatus,Africa,1.096,0.608405462,1.583594538,26.444,26.08095904,26.80704096,40.172,39.9398219,40.4041781,0
Coracias cyanogaster,Blue-bellied Roller,Coracias cyanogaster,Africa,13.038,11.99677907,14.07922093,37.576,36.83649598,38.31550402,47.968,47.38753174,48.54846826,0
Coracias garrulus,European Roller,Coracias garrulus,Asia,22.422,22.26238761,22.58161239,33.384,33.25615835,33.51184165,41.354,41.23167337,41.47632663,0
Coracias garrulus,European Roller,Coracias garrulus,Africa,17.46136364,15.98249648,18.9402308,27.1,26.12325403,28.07674597,34.68636364,33.95694177,35.4157855,6
Coracias garrulus,European Roller,Coracias garrulus,Europe,27.662,27.50691402,27.81708598,35.344,35.28132297,35.40667703,40.45,40.35220378,40.54779622,0
Coracias naevius,Rufous-crowned Roller,Coracias naevius,Africa,11.99,11.81424564,12.16575436,22.078,21.83412363,22.32187637,34.094,33.87057959,34.31742041,0
Coracias spatulatus,Racket-tailed Roller,Coracias spatulatus,Africa,1.852,1.299413435,2.404586565,12.034,11.71849855,12.34950145,20.356,19.92586509,20.78613491,0
Coracina boyeri,Boyer's Cuckooshrike,Coracina boyeri,Oceania,5.66,4.089477202,7.230522798,11.5575,9.706847107,13.40815289,14.59,12.86788962,16.31211038,10
Coracina caesia,Gray Cuckooshrike,Ceblepyris caesius,Africa,1.046808511,0.561774982,1.531842039,20.35106383,19.13250356,21.5696241,39.61489362,39.00502006,40.22476718,3
Coracina caledonica,South Melanesian Cuckooshrike,Coracina caledonica,Oceania,2.888636364,1.847651224,3.929621504,28.425,27.3071387,29.5428613,43.53863636,42.86908666,44.20818607,6
Coracina cinerea,Madagascar Cuckooshrike,Ceblepyris cinereus,Africa,12.02916667,11.25155128,12.80678206,18.15,17.22101349,19.07898651,20.93125,20.03780867,21.82469133,2
Coracina lineata,Barred Cuckooshrike,Coracina lineata,Oceania,3.982,3.260094261,4.703905739,19.228,17.97009285,20.48590715,30.336,29.55293717,31.11906283,0
Coracina macei,Large Cuckooshrike,Coracina macei,Asia,5.775,5.060353062,6.489646938,23.14545455,21.42802976,24.86287933,39.83181818,39.11937159,40.54426478,6
Coracina maxima,Ground Cuckooshrike,Coracina maxima,Oceania,3.096,2.372262038,3.819737962,13.492,13.24488157,13.73911843,20.952,20.7193714,21.1846286,0
Coracina novaehollandiae,Black-faced Cuckooshrike,Coracina novaehollandiae,Oceania,27.376,26.94702926,27.80497074,44.952,44.80910292,45.09489708,49.978,49.94942049,50,0
Coracina papuensis,White-bellied Cuckooshrike,Coracina papuensis,Oceania,4.689361702,3.181922379,6.196801025,28.64468085,27.35895035,29.93041135,49.32765957,49.01231096,49.64300819,3
Coracina pectoralis,White-breasted Cuckooshrike,Ceblepyris pectoralis,Africa,0,0,0,15.39591837,13.65847832,17.13335841,31.8,30.64844482,32.95155518,1
Coracopsis nigra,Lesser Vasa Parrot,Coracopsis nigra,Africa,0.22,0,0.505795133,19.836,19.0407956,20.6312044,38.268,37.66720448,38.86879552,0
Coracopsis vasa,Greater Vasa Parrot,Coracopsis vasa,Africa,6.30212766,5.583422044,7.020833276,18.23829787,16.36635211,20.11024364,23.94042553,22.39364824,25.48720282,3
Coragyps atratus,Black Vulture,Coragyps atratus,Latin_America,42.638,41.07067916,44.20532084,50,50,50,50,50,50,0
Coragyps atratus,Black Vulture,Coragyps atratus,North_America,24.014,23.9216551,24.1063449,42.34,42.18969064,42.49030936,50,50,50,0
Corapipo altera,White-ruffed Manakin,Corapipo leucorrhoa,Latin_America,2.446,1.717752955,3.174247045,24.682,23.26813053,26.09586947,37.9,37.18350252,38.61649748,0
Corapipo gutturalis,White-throated Manakin,Corapipo gutturalis,Latin_America,2.456,1.978667695,2.933332305,9.076,8.804098191,9.347901809,10.976,10.67917301,11.27282699,0
Corcorax melanorhamphos,White-winged Chough,Corcorax melanorhamphos,Oceania,6.928,6.399473969,7.456526031,34.9,34.66207933,35.13792067,40.6,40.50639638,40.69360362,0
Cormobates leucophaea,White-throated Treecreeper,Cormobates leucophaea,Oceania,0.02,0,0.045981376,21.798,21.62992894,21.96607106,38.39,38.2404602,38.5395398,0
Corvus albicollis,White-necked Raven,Corvus albicollis,Africa,0.2,0.07628535,0.32371465,21.682,21.36959029,21.99440971,39.392,39.07855244,39.70544756,0
Corvus albus,Pied Crow,Corvus albus,Africa,38.498,38.26711753,38.72888247,48.86,48.69492654,49.02507346,50,50,50,0
Corvus bennetti,Little Crow,Corvus bennetti,Oceania,27.05714286,24.94206757,29.17221815,42.84081633,41.85004097,43.83159169,46.50612245,45.92879574,47.08344916,1
Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos,North_America,24.81,24.11048667,25.50951333,50,50,50,50,50,50,0
Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos,Latin_America,36.42391304,33.12620464,39.72162145,50,50,50,50,50,50,4
Corvus capensis,Cape Crow,Corvus capensis,Africa,10.546,10.23127236,10.86072764,26.84,26.61014879,27.06985121,44.49,44.17755589,44.80244411,0
Corvus corax,Common Raven,Corvus corax,Asia,0.538,0.259556616,0.816443384,24.258,23.82272448,24.69327552,43.806,43.371892,44.240108,0
Corvus corax,Common Raven,Corvus corax,Latin_America,0.562,0.230689067,0.893310933,23.882,23.57096028,24.19303972,43.284,42.96578664,43.60221336,0
Corvus corax,Common Raven,Corvus corax,Africa,14.334,13.76949599,14.89850401,39.994,39.1368845,40.8511155,49.256,48.9882696,49.5237304,0
Corvus corax,Common Raven,Corvus corax,North_America,11.624,11.39162855,11.85637145,39.048,38.92349503,39.17250497,50,50,50,0
Corvus corax,Common Raven,Corvus corax,Europe,7.532,7.087077853,7.976922147,32.356,32.17454139,32.53745861,49.434,49.31600709,49.55199291,0
Corvus cornix,Hooded Crow,Corvus corone,Asia,37.5,33.2026789,41.7973211,49.95227273,49.89015322,50,50,50,50,6
Corvus cornix,Hooded Crow,Corvus corone,Europe,50,50,50,50,50,50,50,50,50,0
Corvus cornix,Hooded Crow,Corvus corone,Africa,46.73913043,44.34547853,49.13278234,50,50,50,50,50,50,4
Corvus corone,Carrion Crow,Corvus corone,Asia,50,50,50,50,50,50,50,50,50,0
Corvus corone,Carrion Crow,Corvus corone,Europe,34.026,33.59209198,34.45990802,50,50,50,50,50,50,0
Corvus coronoides,Australian Raven,Corvus coronoides,Oceania,20.73,18.1094422,23.3505578,44.626,44.46550451,44.78649549,49.91,49.82615916,49.99384084,0
Corvus crassirostris,Thick-billed Raven,Corvus crassirostris,Africa,16.202,15.45772439,16.94627561,38.358,37.94600811,38.76999189,49.718,49.57575757,49.86024243,0
Corvus cryptoleucus,Chihuahuan Raven,Corvus cryptoleucus,North_America,20.382,20.11892746,20.64507254,35.2,35.06545679,35.33454321,44.684,44.40892976,44.95907024,0
Corvus cryptoleucus,Chihuahuan Raven,Corvus cryptoleucus,Latin_America,6.606122449,5.401600315,7.810644583,31.12244898,30.78010906,31.4647889,42.72857143,42.36716049,43.08998237,1
Corvus dauuricus,Daurian Jackdaw,Corvus dauuricus,Asia,22.278,22.04599255,22.51000745,36.932,36.57476809,37.28923191,47.41,47.02354068,47.79645932,0
Corvus edithae,Somali Crow,Corvus edithae,Africa,22.10425532,18.55833017,25.65018047,45.44042553,44.1328591,46.74799197,49.19148936,48.7558895,49.62708923,3
Corvus enca,Slender-billed Crow,Corvus enca,Asia,1.204,0.725992831,1.682007169,15.178,14.92388809,15.43211191,25.012,24.75111104,25.27288896,0
Corvus frugilegus,Rook,Corvus frugilegus,Europe,28.1122449,27.9552938,28.26919599,44.86122449,44.74105021,44.98139877,49.99795918,49.99530727,50,1
Corvus frugilegus,Rook,Corvus frugilegus,Asia,28.836,28.63768804,29.03431196,40.97,40.81441029,41.12558971,49.516,49.36435116,49.66764884,0
Corvus jamaicensis,Jamaican Crow,Corvus jamaicensis,Latin_America,1.7525,0.076073414,3.428926586,29.9275,26.94115994,32.91384006,43.1775,41.94733551,44.40766449,10
Corvus leucognaphalus,White-necked Crow,Corvus leucognaphalus,Latin_America,9.448,8.124977502,10.7710225,24.918,23.78854516,26.04745484,33.994,32.43681774,35.55118226,0
Corvus macrorhynchos,Large-billed Crow,Corvus macrorhynchos,Asia,50,50,50,50,50,50,50,50,50,0
Corvus mellori,Little Raven,Corvus mellori,Oceania,50,50,50,50,50,50,50,50,50,0
Corvus monedula,Eurasian Jackdaw,Corvus monedula,Africa,49,47.70093122,50,50,50,50,50,50,50,0
Corvus monedula,Eurasian Jackdaw,Corvus monedula,Asia,32.608,32.00419217,33.21180783,47.86,47.58569107,48.13430893,49.704,49.56547332,49.84252668,0
Corvus monedula,Eurasian Jackdaw,Corvus monedula,Europe,36.144,35.9654882,36.3225118,49.876,49.79172404,49.96027596,50,50,50,0
Corvus nasicus,Cuban Crow,Corvus nasicus,Latin_America,0.91,0.49077938,1.32922062,14.75,14.48741072,15.01258928,27.5,27.07755901,27.92244099,0
Corvus orru,Torresian Crow,Corvus orru,Oceania,49,47.70093122,50,50,50,50,50,50,50,0
Corvus ossifragus,Fish Crow,Corvus ossifragus,North_America,50,50,50,50,50,50,50,50,50,0
Corvus palmarum,Palm Crow,Corvus palmarum,Latin_America,0,0,0,11.59,11.13740616,12.04259384,22.452,21.88796437,23.01603563,0
Corvus rhipidurus,Fan-tailed Raven,Corvus rhipidurus,Asia,7.2,6.217764858,8.182235142,21.888,21.42565843,22.35034157,30.792,30.48699474,31.09700526,0
Corvus rhipidurus,Fan-tailed Raven,Corvus rhipidurus,Africa,17.996,17.81622703,18.17577297,34.412,34.1986981,34.6253019,45.85,45.61861805,46.08138195,0
Corvus ruficollis,Brown-necked Raven,Corvus ruficollis,Asia,3.244,2.742131737,3.745868263,22.028,21.78526312,22.27073688,35.026,34.89290783,35.15909217,0
Corvus ruficollis,Brown-necked Raven,Corvus ruficollis,Africa,3.5,2.795907912,4.204092088,27.36808511,26.17616952,28.5600007,41.91489362,41.45012731,42.37965992,3
Corvus sinaloae,Sinaloa Crow,Corvus sinaloae,Latin_America,21.146,20.91224982,21.37975018,38.308,38.05547744,38.56052256,50,50,50,0
Corvus splendens,House Crow,Corvus splendens,Africa,33.356,31.30113305,35.41086695,50,50,50,50,50,50,0
Corvus splendens,House Crow,Corvus splendens,Asia,47.406,46.96242726,47.84957274,49.892,49.83709303,49.94690697,50,50,50,0
Corvus tasmanicus,Forest Raven,Corvus tasmanicus,Oceania,0,0,0,12.192,12.04451999,12.33948001,31.584,31.28852667,31.87947333,0
Corvus tristis,Gray Crow,Corvus tristis,Oceania,3.4925,2.819184389,4.165815611,16.165,13.4561838,18.8738162,21.835,19.50521188,24.16478812,10
Coryphistera alaudina,Lark-like Brushrunner,Coryphistera alaudina,Latin_America,1.564,0.82455932,2.30344068,35.316,34.61470555,36.01729445,43.332,42.60166346,44.06233654,0
Coryphospingus cucullatus,Red-crested Finch,Coryphospingus cucullatus,Latin_America,16.012,15.41231532,16.61168468,39.256,39.11499928,39.39700072,43.356,43.06601398,43.64598602,0
Coryphospingus pileatus,Pileated Finch,Coryphospingus pileatus,Latin_America,6.832,5.813840685,7.850159315,35.132,34.90204573,35.36195427,41.478,41.34171258,41.61428742,0
Corythaeola cristata,Great Blue Turaco,Corythaeola cristata,Africa,0.032,0,0.073570201,16.076,15.80962631,16.34237369,30.834,30.58893126,31.07906874,0
Corythaixoides leucogaster,White-bellied Go-away-bird,Criniferoides leucogaster,Africa,6.474,6.081079121,6.866920879,19.532,19.31716006,19.74683994,32.978,32.77130247,33.18469753,0
Corythaixoides personatus,Bare-faced Go-away-bird,Corythaixoides personatus,Africa,15.578,15.06326986,16.09273014,22.01,21.24998415,22.77001585,25.902,25.16272953,26.64127047,0
Corythopis delalandi,Southern Antpipit,Corythopis delalandi,Latin_America,0.948979592,0.520374381,1.377584803,23.72857143,22.65617614,24.80096672,39.7,39.21948304,40.18051696,1
Corythopis torquatus,Ringed Antpipit,Corythopis torquatus,Latin_America,0.348,0.166994429,0.529005571,5.328,5.042155705,5.613844295,9.774,9.586322015,9.961677985,0
Corythornis cristatus,Malachite Kingfisher,Corythornis cristatus,Africa,31.26,31.11401466,31.40598534,47.896,47.53673923,48.25526077,49.94,49.88273984,49.99726016,0
Corythornis vintsioides,Malagasy Kingfisher,Corythornis vintsioides,Africa,41.25,37.28410778,45.21589222,50,50,50,50,50,50,10
Coscoroba coscoroba,Coscoroba Swan,Coscoroba coscoroba,Latin_America,18.654,18.38913946,18.91886054,41.478,41.20585181,41.75014819,49.994,49.98620559,50,0
Cossypha albicapillus,White-crowned Robin-Chat,Cossypha albicapillus,Africa,10.6372093,7.207676305,14.0667423,45.85581395,44.78879054,46.92283736,50,50,50,7
Cossypha archeri,Archer's Robin-Chat,Dessonornis archeri,Africa,2.614285714,1.22944394,3.999127488,16.84081633,15.53914778,18.14248487,21.78163265,20.68558095,22.87768436,1
Cossypha caffra,Cape Robin-Chat,Dessonornis caffer,Africa,35.742,35.5578686,35.9261314,43.72,43.64048108,43.79951892,46.256,46.17928869,46.33271131,0
Cossypha cyanocampter,Blue-shouldered Robin-Chat,Cossypha cyanocampter,Africa,0,0,0,10.622,10.29874132,10.94525868,21.814,21.46558119,22.16241881,0
Cossypha dichroa,Chorister Robin-Chat,Cossypha dichroa,Africa,17.88,14.79431552,20.96568448,43.19,42.36821863,44.01178137,44.984,44.36684971,45.60115029,0
Cossypha heuglini,White-browed Robin-Chat,Cossypha heuglini,Africa,49,47.70093122,50,50,50,50,50,50,50,0
Cossypha humeralis,White-throated Robin-Chat,Dessonornis humeralis,Africa,14.57959184,11.90977936,17.24940432,40.23877551,39.53167013,40.94588089,44.17142857,43.27658191,45.06627524,1
Cossypha polioptera,Gray-winged Robin-Chat,Sheppardia polioptera,Africa,2.492,1.9690448,3.0149552,10.648,10.49218953,10.80381047,17.922,17.71262059,18.13137941,0
Cossypha semirufa,RÃ¼ppell's Robin-Chat,Cossypha semirufa,Africa,50,50,50,50,50,50,50,50,50,0
Cossyphicula roberti,White-bellied Robin-Chat,Cossyphicula roberti,Africa,5.179591837,4.241267033,6.11791664,14.79387755,14.34306287,15.24469223,20.40204082,20.16884115,20.63524049,1
Cotinga amabilis,Lovely Cotinga,Cotinga amabilis,Latin_America,0,0,0,8.078,7.834010684,8.321989316,18.946,18.62920002,19.26279998,0
Cotinga cayana,Spangled Cotinga,Cotinga cayana,Latin_America,0.262,0.111329506,0.412670494,8.286,8.063983691,8.508016309,15.148,14.99929208,15.29670792,0
Cotinga cotinga,Purple-breasted Cotinga,Cotinga cotinga,Latin_America,3.33,2.794904521,3.865095479,8.698,8.489669356,8.906330644,10.454,10.32757516,10.58042484,0
Cotinga maynana,Plum-throated Cotinga,Cotinga maynana,Latin_America,0.116,0.010537584,0.221462416,7.722,7.483492635,7.960507365,17.19,16.87503083,17.50496917,0
Cotinga nattererii,Blue Cotinga,Cotinga nattererii,Latin_America,0,0,0,17.954,17.71598642,18.19201358,32.94,32.66920394,33.21079606,0
Cotinga ridgwayi,Turquoise Cotinga,Cotinga ridgwayi,Latin_America,49,47.70093122,50,50,50,50,50,50,50,0
Coturnicops noveboracensis,Yellow Rail,Coturnicops noveboracensis,North_America,2.970833333,2.07840011,3.863266557,18.02291667,16.31655574,19.72927759,27.29166667,26.09833595,28.48499739,2
Coturnix coturnix,Common Quail,Coturnix coturnix,Europe,13.456,13.30518009,13.60681991,29.216,29.11432857,29.31767143,39.634,39.50930873,39.75869127,0
Coturnix coturnix,Common Quail,Coturnix coturnix,Africa,8.493877551,6.499388793,10.48836631,35.67959184,35.50636179,35.85282188,39.30204082,39.20054221,39.40353942,1
Coturnix coturnix,Common Quail,Coturnix coturnix,Asia,2.898,1.78548726,4.01051274,28.314,27.27179966,29.35620034,47.864,47.43576531,48.29223469,0
Coturnix delegorguei,Harlequin Quail,Coturnix delegorguei,Africa,9.5875,8.12349696,11.05150304,27.98541667,27.36826079,28.60257255,37.73958333,37.46091104,38.01825563,2
Coturnix pectoralis,Stubble Quail,Coturnix pectoralis,Oceania,4.434,3.529492803,5.338507197,33.624,33.43097551,33.81702449,41.72,41.59824964,41.84175036,0
Coua caerulea,Blue Coua,Coua caerulea,Africa,5.165853659,4.072220835,6.259486482,21.6195122,18.9337852,24.30523919,27.72926829,25.54248645,29.91605013,9
Coua coquereli,Coquerel's Coua,Coua coquereli,Africa,8.842,8.470743041,9.213256959,13.444,13.15301806,13.73498194,16.466,16.03516985,16.89683015,0
Coua cristata,Crested Coua,Coua cristata,Africa,11.044,10.91488238,11.17311762,16.244,16.00177103,16.48622897,19.584,19.24312891,19.92487109,0
Coua cursor,Running Coua,Coua cursor,Africa,9.825,8.854655067,10.79534493,20.25625,19.78059799,20.73190201,27.38125,26.76607935,27.99642065,2
Coua gigas,Giant Coua,Coua gigas,Africa,14.55625,12.62272057,16.48977943,22.62916667,20.95340452,24.30492881,30.01875,28.55537102,31.48212898,2
Coua reynaudii,Red-fronted Coua,Coua reynaudii,Africa,10.338,9.508720532,11.16727947,17.798,16.27880464,19.31719536,20.006,18.57196039,21.44003961,0
Coua ruficeps,Red-capped Coua,Coua ruficeps,Africa,9.752173913,8.334066202,11.17028162,17.25869565,15.47769868,19.03969263,20.87173913,19.19715682,22.54632144,4
Coua serriana,Red-breasted Coua,Coua serriana,Africa,34.51875,30.92283146,38.11466854,42.2625,39.82765819,44.69734181,44.31666667,42.12092326,46.51241007,2
Coua verreauxi,Verreaux's Coua,Coua verreauxi,Africa,12.2175,7.909614378,16.52538562,28.065,24.65565595,31.47434405,37.56,35.1419313,39.9780687,10
Cracticus argenteus,Silver-backed Butcherbird,Cracticus argenteus,Oceania,34.958,33.5650271,36.3509729,38.854,38.76568126,38.94231874,39.426,39.30229593,39.54970407,0
Cracticus cassicus,Hooded Butcherbird,Cracticus cassicus,Oceania,8.188,7.557814149,8.818185851,21.148,20.25408193,22.04191807,30.292,29.53429339,31.04970661,0
Cracticus mentalis,Black-backed Butcherbird,Cracticus mentalis,Oceania,26.49591837,26.25385263,26.7379841,33.17346939,32.56036397,33.78657481,40.39387755,39.76238711,41.025368,1
Cracticus nigrogularis,Pied Butcherbird,Cracticus nigrogularis,Oceania,0.197727273,0,0.424133157,43.63863636,42.45495824,44.82231448,50,50,50,6
Cracticus quoyi,Black Butcherbird,Melloria quoyi,Oceania,48,46.18168248,49.81831752,50,50,50,50,50,50,0
Cracticus torquatus,Gray Butcherbird,Cracticus torquatus,Oceania,38.29787234,34.2394209,42.35632378,50,50,50,50,50,50,3
Cranioleuca albiceps,Light-crowned Spinetail,Cranioleuca albiceps,Latin_America,32.3,28.7866976,35.8133024,37.04583333,34.15225377,39.9394129,41.34583333,38.97316522,43.71850145,2
Cranioleuca antisiensis,Line-cheeked Spinetail,Cranioleuca antisiensis,Latin_America,38.9122449,37.0026494,40.82184039,50,50,50,50,50,50,1
Cranioleuca curtata,Ash-browed Spinetail,Cranioleuca curtata,Latin_America,27.918,27.41281401,28.42318599,34.266,34.19078943,34.34121057,36.366,36.26916926,36.46283074,0
Cranioleuca erythrops,Red-faced Spinetail,Cranioleuca erythrops,Latin_America,29.44186047,25.46357554,33.42014539,49.31860465,48.81867975,49.81852956,49.42093023,48.99605032,49.84581014,7
Cranioleuca gutturata,Speckled Spinetail,Thripophaga gutturata,Latin_America,0,0,0,6.732,6.421963976,7.042036024,12.406,12.05609374,12.75590626,0
Cranioleuca marcapatae,Marcapata Spinetail,Cranioleuca marcapatae,Latin_America,10.09361702,8.841979528,11.34525451,13.48723404,12.00872513,14.96574295,14.62978723,13.19483179,16.06474268,3
Cranioleuca pallida,Pallid Spinetail,Cranioleuca pallida,Latin_America,0.666,0.258673707,1.073326293,29.832,29.11151018,30.55248982,46.752,46.21165265,47.29234735,0
Cranioleuca pyrrhophia,Stripe-crowned Spinetail,Cranioleuca pyrrhophia,Latin_America,0.038,0,0.087364614,24.282,24.12005699,24.44394301,41.574,41.40166664,41.74633336,0
Cranioleuca semicinerea,Gray-headed Spinetail,Cranioleuca semicinerea,Latin_America,23.014,22.20763708,23.82036292,30.702,30.309225,31.094775,36.52,35.5945913,37.4454087,0
Cranioleuca subcristata,Crested Spinetail,Cranioleuca subcristata,Latin_America,29.816,29.14557776,30.48642224,42.48,42.05445607,42.90554393,48.174,47.78274806,48.56525194,0
Crax alector,Black Curassow,Crax alector,Latin_America,1.182,0.938904423,1.425095577,7.732,7.62581638,7.83818362,11.12,11.01937456,11.22062544,0
Crax fasciolata,Bare-faced Curassow,Crax fasciolata,Latin_America,0.086,0,0.197719915,15.874,15.24585956,16.50214044,33.798,33.14202353,34.45397647,0
Crax rubra,Great Curassow,Crax rubra,Latin_America,0,0,0,10.388,10.25763581,10.51836419,19.686,19.53874575,19.83325425,0
Creatophora cinerea,Wattled Starling,Creatophora cinerea,Africa,0.302,0.062765967,0.541234033,24.158,23.89615044,24.41984956,42.224,41.98247158,42.46552842,0
Creurgops dentatus,Slaty Tanager,Creurgops dentatus,Latin_America,15.88333333,15.49495746,16.27170921,23.025,22.66878642,23.38121358,28.46458333,27.66967507,29.2594916,2
Creurgops verticalis,Rufous-crested Tanager,Creurgops verticalis,Latin_America,3.46,2.730044967,4.189955033,11.506,11.11925276,11.89274724,17.672,17.45389536,17.89010464,0
Crex crex,Corn Crake,Crex crex,Europe,0,0,0,21.762,20.72351482,22.80048518,42.894,42.44983756,43.33816244,0
Crex egregia,African Crake,Crex egregia,Africa,12.89555556,11.62778773,14.16332338,26.35111111,25.21245646,27.48976576,35.06444444,34.29195777,35.83693112,5
Crinifer piscator,Western Plantain-eater,Crinifer piscator,Africa,33.522,33.05938066,33.98461934,49.776,49.68557336,49.86642664,50,50,50,0
Crinifer zonurus,Eastern Plantain-eater,Crinifer zonurus,Africa,50,50,50,50,50,50,50,50,50,0
Criniger barbatus,Western Bearded-Greenbul,Criniger barbatus,Africa,1.354,0.838976608,1.869023392,11.438,11.18736525,11.68863475,19.598,19.36601631,19.82998369,0
Criniger calurus,Red-tailed Greenbul,Criniger calurus,Africa,2.354,1.738091517,2.969908483,14.156,13.93893624,14.37306376,24.242,24.07324999,24.41075001,0
Criniger chloronotus,Eastern Bearded-Greenbul,Criniger chloronotus,Africa,0.206,0.043516855,0.368483145,8.21,7.931720924,8.488279076,15.024,14.67654034,15.37145966,0
Criniger olivaceus,Yellow-bearded Greenbul,Criniger olivaceus,Africa,0.843181818,0.409697,1.276666636,8.272727273,7.926984358,8.618470188,13.49318182,13.15873225,13.82763139,6
Crithagra albogularis,White-throated Canary,Crithagra albogularis,Africa,1.24,0.70910785,1.77089215,16.468,16.11650224,16.81949776,32.996,32.64702907,33.34497093,0
Crithagra buchanani,Southern Grosbeak-Canary,Crithagra buchanani,Africa,0,0,0,10.992,10.78125812,11.20274188,19.33,19.08745588,19.57254412,0
Crithagra burtoni,Thick-billed Seedeater,Crithagra burtoni,Africa,2.28,1.737010686,2.822989314,21.802,20.97577783,22.62822217,35.806,35.3451541,36.2668459,0
Crithagra citrinelloides,African Citril,Crithagra citrinelloides,Africa,41.372,40.45895501,42.28504499,45.674,45.18035651,46.16764349,47.684,47.32226676,48.04573324,0
Crithagra dorsostriata,White-bellied Canary,Crithagra dorsostriata,Africa,5.994,5.35471193,6.63328807,23.654,23.28393013,24.02406987,36.574,36.39650785,36.75149215,0
Crithagra flaviventris,Yellow Canary,Crithagra flaviventris,Africa,0.696,0.307182513,1.084817487,19.796,19.52259755,20.06940245,39.292,38.97618803,39.60781197,0
Crithagra frontalis,Western Citril,Crithagra frontalis,Africa,32.888,31.56313887,34.21286113,40.874,40.43642459,41.31157541,43.498,43.13727491,43.85872509,0
Crithagra gularis,Streaky-headed Seedeater,Crithagra gularis,Africa,35.754,34.30435873,37.20364127,43.898,43.63326224,44.16273776,45.084,44.76870056,45.39929944,0
Crithagra hyposticta,Southern Citril,Crithagra hyposticta,Africa,19.014,18.91194651,19.11605349,37.128,36.40679734,37.84920266,49.968,49.9264298,50,0
Crithagra koliensis,Papyrus Canary,Crithagra koliensis,Africa,11.98125,10.97840731,12.98409269,24.20416667,23.68040551,24.72792782,33.6125,33.24879386,33.97620614,2
Crithagra leucopygia,White-rumped Seedeater,Crithagra leucopygia,Africa,23.56,23.31223686,23.80776314,41.958,41.68449352,42.23150648,50,50,50,0
Crithagra mozambica,Yellow-fronted Canary,Crithagra mozambica,Africa,28.592,28.37933846,28.80466154,44.91,44.6492798,45.1707202,49.168,48.83694801,49.49905199,0
Crithagra reichenowi,Reichenow's Seedeater,Crithagra reichenowi,Africa,23.892,23.80019147,23.98380853,38.96,38.66800572,39.25199428,49.19,48.85671239,49.52328761,0
Crithagra rufobrunnea,Principe Seedeater,Crithagra rufobrunnea,Africa,3.552,2.621312393,4.482687607,22.166,21.61016496,22.72183504,39.24,38.26174912,40.21825088,0
Crithagra scotops,Forest Canary,Crithagra scotops,Africa,9.826,8.66808117,10.98391883,36.848,36.33505341,37.36094659,49.042,48.58592162,49.49807838,0
Crithagra striolata,Streaky Seedeater,Crithagra striolata,Africa,50,50,50,50,50,50,50,50,50,0
Crithagra sulphurata,Brimstone Canary,Crithagra sulphurata,Africa,23.722,23.54371484,23.90028516,38.682,38.42317728,38.94082272,48.554,48.27798358,48.83001642,0
Crithagra totta,Cape Siskin,Crithagra totta,Africa,0.2875,0,0.661199672,28.48333333,27.73395427,29.23271239,36.875,36.65397622,37.09602378,2
Crithagra tristriata,Brown-rumped Seedeater,Crithagra tristriata,Africa,48.91304348,47.4992942,50,50,50,50,50,50,50,4
Crotophaga ani,Smooth-billed Ani,Crotophaga ani,Latin_America,30.086,29.58939053,30.58260947,43.78,43.69683972,43.86316028,49.15,49.00676541,49.29323459,0
Crotophaga major,Greater Ani,Crotophaga major,Latin_America,0,0,0,34.382,34.16092637,34.60307363,43.952,43.77632443,44.12767557,0
Crotophaga sulcirostris,Groove-billed Ani,Crotophaga sulcirostris,Latin_America,21.874,21.79950721,21.94849279,39.252,39.16251673,39.34148327,49.822,49.76422608,49.87977392,0
Crypsirina temia,Racket-tailed Treepie,Crypsirina temia,Asia,18.046,17.17051103,18.92148897,32.284,31.79452459,32.77347541,42.078,41.7742972,42.3817028,0
