Species1,Species2,Match.type,Match.notes,Avibase.ID1,Avibase.ID2,,,
Colaptes cafer,Colaptes auratus,Many BL to 1eBird,,AVIBASE-6CC34F06,AVIBASE-75600969,,,
Colaptes campestris,Colaptes campestris,Many BL to 1eBird,,AVIBASE-CBDC85D8,AVIBASE-C9C6D042,,,
Colaptes campestroides,Colaptes campestris,Many BL to 1eBird,,AVIBASE-DCCAFFC3,AVIBASE-C9C6D042,,,
Colaptes chrysoides,Colaptes chrysoides,1BL to 1eBird,,AVIBASE-28E5D551,AVIBASE-28E5D551,,,
Colaptes cinereicapillus,Colaptes rupicola,Many BL to 1eBird,,AVIBASE-B91D38FA,AVIBASE-12DFD1C8,,,
Colaptes fernandinae,Colaptes fernandinae,1BL to 1eBird,,AVIBASE-B4C26D42,AVIBASE-B4C26D42,,,
Colaptes melanochloros,Colaptes melanochloros,Many BL to 1eBird,,AVIBASE-E8A005B9,AVIBASE-9D957919,,,
Colaptes melanolaimus,Colaptes melanochloros,Many BL to 1eBird,,AVIBASE-A365E867,AVIBASE-9D957919,,,
Colaptes mexicanoides,Colaptes auratus,Many BL to 1eBird,,AVIBASE-1661C375,AVIBASE-75600969,,,
Colaptes pitius,Colaptes pitius,1BL to 1eBird,,AVIBASE-F5BEB645,AVIBASE-F5BEB645,,,
Colaptes punctigula,Colaptes punctigula,1BL to 1eBird,,AVIBASE-897E43C8,AVIBASE-897E43C8,,,
Colaptes rivolii,Colaptes rivolii,Many BL to 1eBird,,AVIBASE-051C102A,AVIBASE-8947FC53,,,
Colaptes rubiginosus,Colaptes rubiginosus,Many BL to 1eBird,,AVIBASE-2257DD17,AVIBASE-1161239F,,,
Colaptes rupicola,Colaptes rupicola,Many BL to 1eBird,,AVIBASE-B9C09C4C,AVIBASE-12DFD1C8,,,
Colibri coruscans,Colibri coruscans,1BL to 1eBird,,AVIBASE-51F7C361,AVIBASE-51F7C361,,,
Colibri delphinae,Colibri delphinae,1BL to 1eBird,,AVIBASE-A76C26A1,AVIBASE-A76C26A1,,,
Colibri serrirostris,Colibri serrirostris,1BL to 1eBird,,AVIBASE-5C5475AC,AVIBASE-5C5475AC,,,
Colibri thalassinus,Colibri cyanotus,1BL to many eBird,,AVIBASE-526931C9,AVIBASE-94CB63F7,,,
Colibri thalassinus,Colibri sp.,1BL to many eBird,Species2 name used in cases where ambiguous locality data prevented match,AVIBASE-526931C9,AVIBASE-130C89C2,,,
Colibri thalassinus,Colibri thalassinus,1BL to many eBird,,AVIBASE-526931C9,AVIBASE-B9BA2058,,,
Colinus cristatus,Colinus cristatus,Many BL to 1eBird,,AVIBASE-5C8A2A0C,AVIBASE-C5B72F4E,,,
Colinus leucopogon,Colinus cristatus,Many BL to 1eBird,,AVIBASE-E1CB174C,AVIBASE-C5B72F4E,,,
Colinus nigrogularis,Colinus nigrogularis,1BL to 1eBird,,AVIBASE-2F9C259A,AVIBASE-2F9C259A,,,
Colinus virginianus,Colinus virginianus,1BL to 1eBird,,AVIBASE-91CCBC71,AVIBASE-91CCBC71,,,
Colius castanotus,Colius castanotus,1BL to 1eBird,,AVIBASE-A7746907,AVIBASE-A7746907,,,
Colius colius,Colius colius,1BL to 1eBird,,AVIBASE-CFDC57C6,AVIBASE-CFDC57C6,,,
Colius leucocephalus,Colius leucocephalus,1BL to 1eBird,,AVIBASE-ADDB3611,AVIBASE-ADDB3611,,,
Colius striatus,Colius striatus,1BL to 1eBird,,AVIBASE-1FDDABDB,AVIBASE-1FDDABDB,,,
Collocalia esculenta,Collocalia affinis,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-5AF6B3D9,,,
Collocalia esculenta,Collocalia esculenta,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-4603DB3F,,,
Collocalia esculenta,Collocalia isonota,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-415182DB,,,
Collocalia esculenta,Collocalia marginata,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-80265F80,,,
Collocalia esculenta,Collocalia natalis,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-48E1BFD0,,,
Collocalia esculenta,Collocalia neglecta,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-3BD2491C,,,
Collocalia esculenta,Collocalia sumbawae,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-8E6A673A,,,
Collocalia esculenta,Collocalia uropygialis,1BL to many eBird,,AVIBASE-E51E8C6A,AVIBASE-CB1DD39F,,,
Collocalia linchi,Collocalia dodgei,1BL to many eBird,,AVIBASE-9EE08648,AVIBASE-2EF40362,,,
Collocalia linchi,Collocalia linchi,1BL to many eBird,,AVIBASE-9EE08648,AVIBASE-4BA9A5D1,,,
Collocalia troglodytes,Collocalia troglodytes,1BL to 1eBird,,AVIBASE-2BC9E234,AVIBASE-2BC9E234,,,
Colluricincla boweri,Colluricincla boweri,1BL to 1eBird,,AVIBASE-DBCC8B86,AVIBASE-DBCC8B86,,,
Colluricincla harmonica,Colluricincla harmonica,1BL to 1eBird,,AVIBASE-AD4D85BB,AVIBASE-AD4D85BB,,,
Colluricincla megarhyncha,Colluricincla affinis,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-90D18200,,,
Colluricincla megarhyncha,Colluricincla discolor,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-6445DBD8,,,
Colluricincla megarhyncha,Colluricincla fortis,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-52891CE6,,,
Colluricincla megarhyncha,Colluricincla megarhyncha,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-B600DD3C,,,
Colluricincla megarhyncha,Colluricincla obscura,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-1F4C022C,,,
Colluricincla megarhyncha,Colluricincla rufogaster,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-E33D682E,,,
Colluricincla megarhyncha,Colluricincla sp.,1BL to many eBird,Species2 name used in cases where ambiguous locality data prevented match,AVIBASE-5B87F728,AVIBASE-AEFFC7E6,,,
Colluricincla megarhyncha,Colluricincla tappenbecki,1BL to many eBird,,AVIBASE-5B87F728,AVIBASE-4D5183D7,,,
Colluricincla megarhyncha,Pachycephala melanorhyncha,Many BL to 1eBird,,AVIBASE-5B87F728,AVIBASE-A0C15697,,,
Colluricincla tenebrosa,Colluricincla tenebrosa,1BL to 1eBird,,AVIBASE-F64EC7D0,AVIBASE-F64EC7D0,,,
Colluricincla woodwardi,Colluricincla woodwardi,1BL to 1eBird,,AVIBASE-8A05845F,AVIBASE-8A05845F,,,
Colonia colonus,Colonia colonus,1BL to 1eBird,,AVIBASE-3EB54C47,AVIBASE-3EB54C47,,,
Colorhamphus parvirostris,Colorhamphus parvirostris,1BL to 1eBird,,AVIBASE-BB5C6141,AVIBASE-BB5C6141,,,
Columba albinucha,Columba albinucha,1BL to 1eBird,,AVIBASE-A1B9BB88,AVIBASE-A1B9BB88,,,
Columba albitorques,Columba albitorques,1BL to 1eBird,,AVIBASE-DD7C4C78,AVIBASE-DD7C4C78,,,
Columba argentina,Columba argentina,1BL to 1eBird,,AVIBASE-036DC7FC,AVIBASE-036DC7FC,,,
Columba arquatrix,Columba arquatrix,1BL to 1eBird,,AVIBASE-EEDB8253,AVIBASE-EEDB8253,,,
Columba bollii,Columba bollii,1BL to 1eBird,,AVIBASE-1ED914E6,AVIBASE-1ED914E6,,,
Columba delegorguei,Columba delegorguei,1BL to 1eBird,,AVIBASE-870E4DDA,AVIBASE-870E4DDA,,,
Columba elphinstonii,Columba elphinstonii,1BL to 1eBird,,AVIBASE-5813ADBE,AVIBASE-5813ADBE,,,
Columba eversmanni,Columba eversmanni,1BL to 1eBird,,AVIBASE-38AA824B,AVIBASE-38AA824B,,,
Columba guinea,Columba guinea,1BL to 1eBird,,AVIBASE-A6EA9F02,AVIBASE-A6EA9F02,,,
Columba hodgsonii,Columba hodgsonii,1BL to 1eBird,,AVIBASE-3503F769,AVIBASE-3503F769,,,
Columba iriditorques,Columba iriditorques,1BL to 1eBird,,AVIBASE-3FC9BA60,AVIBASE-3FC9BA60,,,
Columba janthina,Columba janthina,1BL to 1eBird,,AVIBASE-E2209F71,AVIBASE-E2209F71,,,
Columba junoniae,Columba junoniae,1BL to 1eBird,,AVIBASE-396E6311,AVIBASE-396E6311,,,
Columba leucomela,Columba leucomela,1BL to 1eBird,,AVIBASE-8F3CF81A,AVIBASE-8F3CF81A,,,
Columba leuconota,Columba leuconota,1BL to 1eBird,,AVIBASE-F5750571,AVIBASE-F5750571,,,
Columba livia,Columba livia,1BL to 1eBird,,AVIBASE-BBA263C2,AVIBASE-BBA263C2,,,
Columba malherbii,Columba malherbii,1BL to 1eBird,,AVIBASE-E6393B15,AVIBASE-E6393B15,,,
Columba oenas,Columba oenas,1BL to 1eBird,,AVIBASE-68E4C0D1,AVIBASE-68E4C0D1,,,
Columba oliviae,Columba oliviae,1BL to 1eBird,,AVIBASE-37B66CCF,AVIBASE-37B66CCF,,,
Columba pallidiceps,Columba pallidiceps,1BL to 1eBird,,AVIBASE-3C0E1CD4,AVIBASE-3C0E1CD4,,,
Columba palumboides,Columba palumboides,1BL to 1eBird,,AVIBASE-95059E5A,AVIBASE-95059E5A,,,
Columba palumbus,Columba palumbus,1BL to 1eBird,,AVIBASE-760F307A,AVIBASE-760F307A,,,
Columba pollenii,Columba pollenii,1BL to 1eBird,,AVIBASE-05BBFC8E,AVIBASE-05BBFC8E,,,
Columba pulchricollis,Columba pulchricollis,1BL to 1eBird,,AVIBASE-6E814856,AVIBASE-6E814856,,,
Columba punicea,Columba punicea,1BL to 1eBird,,AVIBASE-D5C3E9C9,AVIBASE-D5C3E9C9,,,
Columba rupestris,Columba rupestris,1BL to 1eBird,,AVIBASE-BF20B94D,AVIBASE-BF20B94D,,,
Columba sjostedti,Columba sjostedti,1BL to 1eBird,,AVIBASE-757ABA94,AVIBASE-757ABA94,,,
Columba thomensis,Columba thomensis,1BL to 1eBird,,AVIBASE-8288E54D,AVIBASE-8288E54D,,,
Columba torringtoniae,Columba torringtoniae,1BL to 1eBird,,AVIBASE-EEEDA1B2,AVIBASE-EEEDA1B2,,,
Columba trocaz,Columba trocaz,1BL to 1eBird,,AVIBASE-BAAC66AF,AVIBASE-BAAC66AF,,,
Columba unicincta,Columba unicincta,1BL to 1eBird,,AVIBASE-1A145C89,AVIBASE-1A145C89,,,
Columba vitiensis,Columba vitiensis,1BL to 1eBird,,AVIBASE-CE7203C7,AVIBASE-CE7203C7,,,
Columbina buckleyi,Columbina buckleyi,1BL to 1eBird,,AVIBASE-19BFB346,AVIBASE-19BFB346,,,
Columbina cruziana,Columbina cruziana,1BL to 1eBird,,AVIBASE-E981792A,AVIBASE-E981792A,,,
Columbina cyanopis,Columbina cyanopis,1BL to 1eBird,,AVIBASE-C6FA453A,AVIBASE-C6FA453A,,,
Columbina inca,Columbina inca,1BL to 1eBird,,AVIBASE-BFE74235,AVIBASE-BFE74235,,,
Columbina minuta,Columbina minuta,1BL to 1eBird,,AVIBASE-37691FA2,AVIBASE-37691FA2,,,
Columbina passerina,Columbina passerina,1BL to 1eBird,,AVIBASE-F9AED548,AVIBASE-F9AED548,,,
Columbina picui,Columbina picui,1BL to 1eBird,,AVIBASE-C5E145EC,AVIBASE-C5E145EC,,,
Columbina squammata,Columbina squammata,1BL to 1eBird,,AVIBASE-26085D75,AVIBASE-26085D75,,,
Columbina talpacoti,Columbina talpacoti,1BL to 1eBird,,AVIBASE-ADD11A5F,AVIBASE-ADD11A5F,,,
Compsothraupis loricata,Compsothraupis loricata,1BL to 1eBird,,AVIBASE-DCEDEBC4,AVIBASE-DCEDEBC4,,,
Conioptilon mcilhennyi,Conioptilon mcilhennyi,1BL to 1eBird,,AVIBASE-65DFFBD4,AVIBASE-65DFFBD4,,,
Conirostrum albifrons,Conirostrum albifrons,1BL to 1eBird,,AVIBASE-6FA6ED40,AVIBASE-6FA6ED40,,,
Conirostrum bicolor,Conirostrum bicolor,1BL to 1eBird,,AVIBASE-FA9420B4,AVIBASE-FA9420B4,,,
Conirostrum binghami,Conirostrum binghami,1BL to 1eBird,,AVIBASE-9529362D,AVIBASE-9529362D,,,
Conirostrum cinereum,Conirostrum cinereum,Many BL to 1eBird,,AVIBASE-3036F45A,AVIBASE-CB5F3DD1,,,
Conirostrum ferrugineiventre,Conirostrum ferrugineiventre,1BL to 1eBird,,AVIBASE-575BFDC1,AVIBASE-575BFDC1,,,
Conirostrum fraseri,Conirostrum cinereum,Many BL to 1eBird,,AVIBASE-E2C81C39,AVIBASE-CB5F3DD1,,,
Conirostrum leucogenys,Conirostrum leucogenys,1BL to 1eBird,,AVIBASE-5198F288,AVIBASE-5198F288,,,
Conirostrum margaritae,Conirostrum margaritae,1BL to 1eBird,,AVIBASE-51CE233C,AVIBASE-51CE233C,,,
Conirostrum rufum,Conirostrum rufum,1BL to 1eBird,,AVIBASE-1F1C4F93,AVIBASE-1F1C4F93,,,
Conirostrum sitticolor,Conirostrum sitticolor,1BL to 1eBird,,AVIBASE-EF7A9538,AVIBASE-EF7A9538,,,
Conirostrum speciosum,Conirostrum speciosum,1BL to 1eBird,,AVIBASE-9BE4C509,AVIBASE-9BE4C509,,,
Conirostrum tamarugense,Conirostrum tamarugense,1BL to 1eBird,,AVIBASE-AD3D0CE9,AVIBASE-AD3D0CE9,,,
Conopias albovittatus,Conopias albovittatus,1BL to 1eBird,,AVIBASE-FEE77420,AVIBASE-FEE77420,,,
Conopias cinchoneti,Conopias cinchoneti,1BL to 1eBird,,AVIBASE-C5202F83,AVIBASE-C5202F83,,,
Conopias parvus,Conopias parvus,1BL to 1eBird,,AVIBASE-B8415F96,AVIBASE-B8415F96,,,
Conopias trivirgatus,Conopias trivirgatus,1BL to 1eBird,,AVIBASE-C5A7C594,AVIBASE-C5A7C594,,,
Conopophaga ardesiaca,Conopophaga ardesiaca,1BL to 1eBird,,AVIBASE-3D046D26,AVIBASE-3D046D26,,,
Conopophaga aurita,Conopophaga aurita,Many BL to 1eBird,,AVIBASE-2E9D5026,AVIBASE-2EBD6D07,,,
Conopophaga castaneiceps,Conopophaga castaneiceps,1BL to 1eBird,,AVIBASE-E0994940,AVIBASE-E0994940,,,
Conopophaga cearae,Conopophaga cearae,1BL to 1eBird,,AVIBASE-E669DB94,AVIBASE-E669DB94,,,
Conopophaga lineata,Conopophaga lineata,1BL to 1eBird,,AVIBASE-2D997B49,AVIBASE-2D997B49,,,
Conopophaga melanogaster,Conopophaga melanogaster,1BL to 1eBird,,AVIBASE-C0F59C9F,AVIBASE-C0F59C9F,,,
Conopophaga melanops,Conopophaga melanops,1BL to 1eBird,,AVIBASE-EA9CEB99,AVIBASE-EA9CEB99,,,
Conopophaga peruviana,Conopophaga peruviana,1BL to 1eBird,,AVIBASE-82B0FF93,AVIBASE-82B0FF93,,,
Conopophaga roberti,Conopophaga roberti,1BL to 1eBird,,AVIBASE-1BC6D0DF,AVIBASE-1BC6D0DF,,,
Conopophaga snethlageae,Conopophaga aurita,Many BL to 1eBird,,AVIBASE-83F07C79,AVIBASE-2EBD6D07,,,
Conopophila albogularis,Conopophila albogularis,1BL to 1eBird,,AVIBASE-F2B72743,AVIBASE-F2B72743,,,
Conopophila rufogularis,Conopophila rufogularis,1BL to 1eBird,,AVIBASE-D06D4369,AVIBASE-D06D4369,,,
Conopophila whitei,Conopophila whitei,1BL to 1eBird,,AVIBASE-DA492C3A,AVIBASE-DA492C3A,,,
Conostoma aemodium,Conostoma aemodium,1BL to 1eBird,,AVIBASE-D1065C8C,AVIBASE-D1065C8C,,,
Conothraupis mesoleuca,Conothraupis mesoleuca,1BL to 1eBird,,AVIBASE-16460BF4,AVIBASE-16460BF4,,,
Conothraupis speculigera,Conothraupis speculigera,1BL to 1eBird,,AVIBASE-FEAFE529,AVIBASE-FEAFE529,,,
Contopus albogularis,Contopus albogularis,1BL to 1eBird,,AVIBASE-6B98ED1A,AVIBASE-6B98ED1A,,,
Contopus bogotensis,Contopus cinereus,Many BL to 1eBird,,AVIBASE-784D06AC,AVIBASE-ED18DC0C,,,
Contopus caribaeus,Contopus caribaeus,1BL to 1eBird,,AVIBASE-8FB6981F,AVIBASE-8FB6981F,,,
Contopus cinereus,Contopus cinereus,Many BL to 1eBird,,AVIBASE-1CA8962F,AVIBASE-ED18DC0C,,,
Contopus cooperi,Contopus cooperi,1BL to 1eBird,,AVIBASE-951C150C,AVIBASE-951C150C,,,
Contopus fumigatus,Contopus fumigatus,1BL to 1eBird,,AVIBASE-ECF2FBB2,AVIBASE-ECF2FBB2,,,
Contopus hispaniolensis,Contopus hispaniolensis,1BL to 1eBird,,AVIBASE-37895593,AVIBASE-37895593,,,
Contopus latirostris,Contopus latirostris,1BL to 1eBird,,AVIBASE-6C5E4245,AVIBASE-6C5E4245,,,
Contopus lugubris,Contopus lugubris,1BL to 1eBird,,AVIBASE-8D6C036A,AVIBASE-8D6C036A,,,
Contopus nigrescens,Contopus nigrescens,1BL to 1eBird,,AVIBASE-F5A71429,AVIBASE-F5A71429,,,
Contopus ochraceus,Contopus ochraceus,1BL to 1eBird,,AVIBASE-EBB848CD,AVIBASE-EBB848CD,,,
Contopus pallidus,Contopus pallidus,1BL to 1eBird,,AVIBASE-BBBAE4D2,AVIBASE-BBBAE4D2,,,
Contopus pertinax,Contopus pertinax,1BL to 1eBird,,AVIBASE-4CAD4149,AVIBASE-4CAD4149,,,
Contopus punensis,Contopus cinereus,Many BL to 1eBird,,AVIBASE-73E3CD29,AVIBASE-ED18DC0C,,,
Contopus sordidulus,Contopus sordidulus,1BL to 1eBird,,AVIBASE-F6CA75F0,AVIBASE-F6CA75F0,,,
Contopus virens,Contopus virens,1BL to 1eBird,,AVIBASE-9891BF73,AVIBASE-9891BF73,,,
Copsychus albospecularis,Copsychus albospecularis,Many BL to 1eBird,,AVIBASE-CCDA39E4,AVIBASE-97015904,,,
Copsychus mindanensis,Copsychus mindanensis,1BL to 1eBird,,AVIBASE-24D2DF19,AVIBASE-24D2DF19,,,
Copsychus pica,Copsychus albospecularis,Many BL to 1eBird,,AVIBASE-5DE3F1BD,AVIBASE-97015904,,,
Copsychus saularis,Copsychus saularis,1BL to 1eBird,,AVIBASE-D112C938,AVIBASE-D112C938,,,
Copsychus sechellarum,Copsychus sechellarum,1BL to 1eBird,,AVIBASE-4B41D53C,AVIBASE-4B41D53C,,,
Coracias abyssinicus,Coracias abyssinicus,1BL to 1eBird,,AVIBASE-E7C7EE3A,AVIBASE-E7C7EE3A,,,
Coracias affinis,Coracias affinis,1BL to 1eBird,,AVIBASE-959FEC0D,AVIBASE-959FEC0D,,,
Coracias benghalensis,Coracias benghalensis,1BL to 1eBird,,AVIBASE-4F404CB9,AVIBASE-4F404CB9,,,
Coracias caudatus,Coracias caudatus,1BL to 1eBird,,AVIBASE-9E9B6EF9,AVIBASE-9E9B6EF9,,,
Coracias cyanogaster,Coracias cyanogaster,1BL to 1eBird,,AVIBASE-306C892E,AVIBASE-306C892E,,,
Coracias garrulus,Coracias garrulus,1BL to 1eBird,,AVIBASE-7451A628,AVIBASE-7451A628,,,
Coracias naevius,Coracias naevius,1BL to 1eBird,,AVIBASE-2624054E,AVIBASE-2624054E,,,
Coracias spatulatus,Coracias spatulatus,1BL to 1eBird,,AVIBASE-BB456342,AVIBASE-BB456342,,,
Coracias temminckii,Coracias temminckii,1BL to 1eBird,,AVIBASE-B8895D02,AVIBASE-B8895D02,,,
Coracina atriceps,Coracina atriceps,1BL to 1eBird,,AVIBASE-5D9FFA9E,AVIBASE-5D9FFA9E,,,
Coracina bicolor,Coracina bicolor,1BL to 1eBird,,AVIBASE-70E9B911,AVIBASE-70E9B911,,,
Coracina boyeri,Coracina boyeri,1BL to 1eBird,,AVIBASE-198CCE88,AVIBASE-198CCE88,,,
Coracina caeruleogrisea,Coracina caeruleogrisea,1BL to 1eBird,,AVIBASE-4EA1090D,AVIBASE-4EA1090D,,,
Coracina caledonica,Coracina caledonica,1BL to 1eBird,,AVIBASE-795072F5,AVIBASE-795072F5,,,
Coracina dobsoni,Coracina dobsoni,1BL to 1eBird,,AVIBASE-DF546828,AVIBASE-DF546828,,,
Coracina fortis,Coracina fortis,1BL to 1eBird,,AVIBASE-DEDD2225,AVIBASE-DEDD2225,,,
Coracina javensis,Coracina javensis,1BL to 1eBird*,Imperfect match: eBird taxon excludes subspecies group nipalensis,AVIBASE-4A66FEC6,AVIBASE-932D5947,,,
Coracina larvata,Coracina larvata,1BL to 1eBird,,AVIBASE-F6CD1C79,AVIBASE-F6CD1C79,,,
Coracina leucopygia,Coracina leucopygia,1BL to 1eBird,,AVIBASE-48BE10FA,AVIBASE-48BE10FA,,,
Coracina lineata,Coracina lineata,1BL to 1eBird,,AVIBASE-37E84A15,AVIBASE-37E84A15,,,
Coracina longicauda,Coracina longicauda,1BL to 1eBird,,AVIBASE-B256B785,AVIBASE-B256B785,,,
Coracina macei,Coracina macei,1BL to 1eBird*,Imperfect match: eBird taxon includes subspecies group nipalensis,AVIBASE-F6D6E5DB,AVIBASE-AB82799A,,,
Coracina maxima,Coracina maxima,1BL to 1eBird,,AVIBASE-69C99EC0,AVIBASE-69C99EC0,,,
Coracina novaehollandiae,Coracina novaehollandiae,1BL to 1eBird,,AVIBASE-EBACA7A4,AVIBASE-EBACA7A4,,,
Coracina panayensis,Coracina striata,Many BL to 1eBird,,AVIBASE-6A0DA75B,AVIBASE-6ADF57DB,,,
Coracina papuensis,Coracina ingens,1BL to many eBird,,AVIBASE-FFB094BE,AVIBASE-9FD80C9B,,,
Coracina papuensis,Coracina papuensis,1BL to many eBird,,AVIBASE-FFB094BE,AVIBASE-66334097,,,
Coracina personata,Coracina personata,1BL to 1eBird,,AVIBASE-8FDFD55B,AVIBASE-8FDFD55B,,,
Coracina schistacea,Coracina schistacea,1BL to 1eBird,,AVIBASE-AA60C64C,AVIBASE-AA60C64C,,,
Coracina striata,Coracina striata,Many BL to 1eBird,,AVIBASE-C4959982,AVIBASE-6ADF57DB,,,
Coracina temminckii,Coracina temminckii,1BL to 1eBird,,AVIBASE-DD9CA0A5,AVIBASE-DD9CA0A5,,,
Coracina welchmani,Coracina welchmani,1BL to 1eBird,,AVIBASE-0A14231E,AVIBASE-0A14231E,,,
Coracopsis barklyi,Coracopsis barklyi,1BL to 1eBird,,AVIBASE-EB97C0F2,AVIBASE-EB97C0F2,,,
Coracopsis nigra,Coracopsis nigra,Many BL to 1eBird,,AVIBASE-B8802336,AVIBASE-2A034048,,,
Coracopsis sibilans,Coracopsis nigra,Many BL to 1eBird,,AVIBASE-873200F0,AVIBASE-2A034048,,,
Coracopsis vasa,Coracopsis vasa,1BL to 1eBird,,AVIBASE-FCED8B3A,AVIBASE-FCED8B3A,,,
Coracornis raveni,Coracornis raveni,1BL to 1eBird,,AVIBASE-68FD78E7,AVIBASE-68FD78E7,,,
Coracornis sanghirensis,Coracornis sanghirensis,1BL to 1eBird,,AVIBASE-9A7D5255,AVIBASE-9A7D5255,,,
Coragyps atratus,Coragyps atratus,1BL to 1eBird,,AVIBASE-4FF7DE80,AVIBASE-4FF7DE80,,,
Corapipo gutturalis,Corapipo gutturalis,1BL to 1eBird,,AVIBASE-EA5755E6,AVIBASE-EA5755E6,,,
Corapipo leucorrhoa,Corapipo altera,1BL to many eBird,,AVIBASE-C8EE2E34,AVIBASE-DED4C1C1,,,
Corapipo leucorrhoa,Corapipo leucorrhoa,1BL to many eBird,,AVIBASE-C8EE2E34,AVIBASE-AE0C6B0E,,,
Corcorax melanorhamphos,Corcorax melanorhamphos,1BL to 1eBird,,AVIBASE-D7FD3046,AVIBASE-D7FD3046,,,
Cormobates leucophaea,Cormobates leucophaea,1BL to 1eBird,,AVIBASE-F91FF9AA,AVIBASE-F91FF9AA,,,
Cormobates placens,Cormobates placens,1BL to 1eBird,,AVIBASE-9686AA8F,AVIBASE-9686AA8F,,,
Corvinella corvina,Lanius corvinus,1BL to 1eBird,,AVIBASE-E44FAD6F,AVIBASE-E44FAD6F,,,
Corvus albicollis,Corvus albicollis,1BL to 1eBird,,AVIBASE-EA326EA2,AVIBASE-EA326EA2,,,
Corvus albus,Corvus albus,1BL to 1eBird,,AVIBASE-34D538E1,AVIBASE-34D538E1,,,
Corvus bennetti,Corvus bennetti,1BL to 1eBird,,AVIBASE-4DADACA1,AVIBASE-4DADACA1,,,
Corvus brachyrhynchos,Corvus brachyrhynchos,Many BL to 1eBird,,AVIBASE-9E9F2476,AVIBASE-69544B59,,,
Corvus capensis,Corvus capensis,1BL to 1eBird,,AVIBASE-562E17AB,AVIBASE-562E17AB,,,
Corvus caurinus,Corvus brachyrhynchos,Many BL to 1eBird,,AVIBASE-2F784967,AVIBASE-69544B59,,,
Corvus corax,Corvus corax,1BL to 1eBird,,AVIBASE-B9B272F4,AVIBASE-B9B272F4,,,
Corvus corone,Corvus cornix,1BL to many eBird,,AVIBASE-E4EE9AC4,AVIBASE-F13D8350,,,
Corvus corone,Corvus corone,1BL to many eBird,,AVIBASE-E4EE9AC4,AVIBASE-26FB62DA,,,
Corvus coronoides,Corvus coronoides,1BL to 1eBird,,AVIBASE-1D45897E,AVIBASE-1D45897E,,,
Corvus crassirostris,Corvus crassirostris,1BL to 1eBird,,AVIBASE-4C6B515D,AVIBASE-4C6B515D,,,
Corvus cryptoleucus,Corvus cryptoleucus,1BL to 1eBird,,AVIBASE-F3B84E07,AVIBASE-F3B84E07,,,
Corvus dauuricus,Corvus dauuricus,1BL to 1eBird,,AVIBASE-9F784AB1,AVIBASE-9F784AB1,,,
Corvus edithae,Corvus edithae,1BL to 1eBird,,AVIBASE-9DBAAB1D,AVIBASE-9DBAAB1D,,,
Corvus enca,Corvus enca,1BL to 1eBird,,AVIBASE-C195CB92,AVIBASE-C195CB92,,,
Corvus florensis,Corvus florensis,1BL to 1eBird,,AVIBASE-CE62EFDD,AVIBASE-CE62EFDD,,,
Corvus frugilegus,Corvus frugilegus,1BL to 1eBird,,AVIBASE-1078FFEA,AVIBASE-1078FFEA,,,
Corvus fuscicapillus,Corvus fuscicapillus,1BL to 1eBird,,AVIBASE-EC8ED8A4,AVIBASE-EC8ED8A4,,,
Corvus hawaiiensis,Corvus hawaiiensis,1BL to 1eBird,,AVIBASE-2CDECD36,AVIBASE-2CDECD36,,,
Corvus imparatus,Corvus imparatus,1BL to 1eBird,,AVIBASE-AFDBC76B,AVIBASE-AFDBC76B,,,
Corvus insularis,Corvus insularis,1BL to 1eBird,,AVIBASE-30485389,AVIBASE-30485389,,,
Corvus jamaicensis,Corvus jamaicensis,1BL to 1eBird,,AVIBASE-58AEF90C,AVIBASE-58AEF90C,,,
Corvus kubaryi,Corvus kubaryi,1BL to 1eBird,,AVIBASE-1EF8429F,AVIBASE-1EF8429F,,,
Corvus leucognaphalus,Corvus leucognaphalus,1BL to 1eBird,,AVIBASE-CC4B3F51,AVIBASE-CC4B3F51,,,
Corvus macrorhynchos,Corvus macrorhynchos,1BL to 1eBird,,AVIBASE-F4C4F838,AVIBASE-F4C4F838,,,
Corvus meeki,Corvus meeki,1BL to 1eBird,,AVIBASE-667E6F77,AVIBASE-667E6F77,,,
Corvus mellori,Corvus mellori,1BL to 1eBird,,AVIBASE-DE78C792,AVIBASE-DE78C792,,,
Corvus monedula,Corvus monedula,1BL to 1eBird,,AVIBASE-D4C32F8E,AVIBASE-D4C32F8E,,,
Corvus moneduloides,Corvus moneduloides,1BL to 1eBird,,AVIBASE-985A5F40,AVIBASE-985A5F40,,,
Corvus nasicus,Corvus nasicus,1BL to 1eBird,,AVIBASE-4B69D1CC,AVIBASE-4B69D1CC,,,
Corvus orru,Corvus orru,1BL to 1eBird,,AVIBASE-3E47E56F,AVIBASE-3E47E56F,,,
