Species1,Species2,Match.type,Match.notes,Avibase.ID1,Avibase.ID2,,,
Accipiter cooperii,Accipiter cooperii,1BL to 1eBird,,AVIBASE-EB98812F,AVIBASE-EB98812F,,,
Accipiter erythrauchen,Accipiter erythrauchen,1BL to 1eBird,,AVIBASE-950C5048,AVIBASE-950C5048,,,
Accipiter erythropus,Accipiter erythropus,1BL to 1eBird,,AVIBASE-AFD19C47,AVIBASE-AFD19C47,,,
Accipiter fasciatus,Accipiter fasciatus,1BL to 1eBird,,AVIBASE-8257AE54,AVIBASE-8257AE54,,,
Accipiter francesiae,Accipiter francesiae,1BL to 1eBird,,AVIBASE-0307D245,AVIBASE-0307D245,,,
Accipiter gentilis,Accipiter gentilis,1BL to 1eBird,,AVIBASE-420850D6,AVIBASE-420850D6,,,
Accipiter griseiceps,Accipiter griseiceps,1BL to 1eBird,,AVIBASE-4C2DBB2A,AVIBASE-4C2DBB2A,,,
Accipiter gularis,Accipiter gularis,1BL to 1eBird*,Imperfect match: eBird taxon excludes subspecies nisoides,AVIBASE-1E49FE52,AVIBASE-797C9090,,,
Accipiter gundlachi,Accipiter gundlachi,1BL to 1eBird,,AVIBASE-0EDF5A1C,AVIBASE-0EDF5A1C,,,
Accipiter haplochrous,Accipiter haplochrous,1BL to 1eBird,,AVIBASE-18B4CE02,AVIBASE-18B4CE02,,,
Accipiter henicogrammus,Accipiter henicogrammus,1BL to 1eBird,,AVIBASE-9288286D,AVIBASE-9288286D,,,
Accipiter henstii,Accipiter henstii,1BL to 1eBird,,AVIBASE-05701150,AVIBASE-05701150,,,
Accipiter hiogaster,Accipiter hiogaster,Many BL to 1eBird,,AVIBASE-3400ACD7,AVIBASE-A4AAB528,,,
Accipiter imitator,Accipiter imitator,1BL to 1eBird,,AVIBASE-466CC533,AVIBASE-466CC533,,,
Accipiter luteoschistaceus,Accipiter luteoschistaceus,1BL to 1eBird,,AVIBASE-EA787A01,AVIBASE-EA787A01,,,
Accipiter madagascariensis,Accipiter madagascariensis,1BL to 1eBird,,AVIBASE-5D673E3E,AVIBASE-5D673E3E,,,
Accipiter melanochlamys,Accipiter melanochlamys,1BL to 1eBird,,AVIBASE-1F0322E5,AVIBASE-1F0322E5,,,
Accipiter melanoleucus,Accipiter melanoleucus,1BL to 1eBird,,AVIBASE-819AB823,AVIBASE-819AB823,,,
Accipiter meyerianus,Accipiter meyerianus,1BL to 1eBird,,AVIBASE-87B94C0E,AVIBASE-87B94C0E,,,
Accipiter minullus,Accipiter minullus,1BL to 1eBird,,AVIBASE-CE1CF6FD,AVIBASE-CE1CF6FD,,,
Accipiter nanus,Accipiter nanus,1BL to 1eBird,,AVIBASE-7F1573CA,AVIBASE-7F1573CA,,,
Accipiter nisus,Accipiter nisus,1BL to 1eBird,,AVIBASE-DB376A66,AVIBASE-DB376A66,,,
Accipiter novaehollandiae,Accipiter novaehollandiae,1BL to 1eBird,,AVIBASE-CFB9E213,AVIBASE-CFB9E213,,,
Accipiter ovampensis,Accipiter ovampensis,1BL to 1eBird,,AVIBASE-BAE91683,AVIBASE-BAE91683,,,
