"species","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field"
"Sporophila_maximiliani",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Sporophila_nuttingi",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sporophila_americana",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sporophila_bouvronides",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sporophila_lineola",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Dacnis_lineata",1,0.1,0.15,1,0.15,0.2,4,0.05,3,1,1,1,1
"Dacnis_viguieri",1,2,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Dacnis_hartlaubi",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Dacnis_cayana",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Dacnis_flaviventer",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Dacnis_albiventris",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Dacnis_nigripes",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Dacnis_venusta",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Dacnis_berlepschi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tersina_viridis",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cyanerpes_caeruleus",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cyanerpes_cyaneus",1,2,3,1,3,4,4,1,3,1,1,1,1
"Cyanerpes_lucidus",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cyanerpes_nitidus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Microspingus_cinereus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Microspingus_melanoleucus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Microspingus_torquatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Microspingus_trifasciatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Microspingus_alticola",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Microspingus_erythrophrys",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Microspingus_lateralis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Microspingus_cabanisi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Nephelornis_oneilli",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Urothraupis_stolzmanni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cypsnagra_hirundinacea",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Donacospiza_albifrons",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poospizopsis_caesar",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poospizopsis_hypochondria",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Castanozoster_thoracicus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_ornata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_pectoralis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Thlypopsis_superciliaris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_ruficeps",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_pyrrhocoma",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_inornata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_sordida",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thlypopsis_fulviceps",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sphenopsis_frontalis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sphenopsis_melanotis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Kleinothraupis_atropileus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Kleinothraupis_reyi",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Kleinothraupis_calophrys",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Kleinothraupis_parodii",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Poospiza_baeri",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Poospiza_garleppi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poospiza_goeringi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Poospiza_rufosuperciliaris",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Poospiza_rubecula",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Poospiza_hispaniolensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poospiza_boliviana",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Poospiza_ornata",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Poospiza_nigrorufa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
