"species","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field"
"Petronia_petronia",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Hypocryptadius_cinnamomeus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Carpospiza_brachydactyla",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Prunella_atrogularis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Prunella_ocularis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_fulvescens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_koslowi",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Prunella_montanella",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Prunella_rubida",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_modularis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_strophiata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_rubeculoides",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_immaculata",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Prunella_collaris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Prunella_himalayana",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_castanops",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_melanocephalus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_taeniopterus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_badius",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_holoxanthus",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,3,1,0.05,1,1
"Ploceus_heuglini",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_intermedius",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_castaneiceps",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_dichrocephalus",1,0.1,0.15,0.05,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_burnieri",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_xanthopterus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_cucullatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_castaneofuscus",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,3,1,0.05,1,1
"Ploceus_nigerrimus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_grandis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_weynsi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_bannermani",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_bertrandi",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_baglafecht",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_aurantius",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_spekei",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_spekeoides",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_vitellinus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_temporalis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_capensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_ruweti",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Ploceus_velatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_jacksoni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_galbula",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_bojeri",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_subaureus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_katangae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_princeps",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_xanthops",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_rubiginosus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_alienus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_nigrimentus",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_melanogaster",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_brachypterus",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,3,1,0.05,1,1
"Ploceus_nigricollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_subpersonatus",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_golandi",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_reichardi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_ocularis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_luteolus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_pelzelni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Malimbus_erythrogaster",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Malimbus_ibadanensis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Malimbus_rubricollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_flavipes",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Ploceus_tricolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_albinucha",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_sanctithomae",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_nicolli",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_olivaceiceps",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ploceus_angolensis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Malimbus_ballmanni",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_insignis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_dorsomaculatus",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Ploceus_preussi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Anaplectes_jubaensis",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,0.15,1,0.05,1,1
"Anaplectes_rubriceps",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_bicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Malimbus_cassini",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Malimbus_scutatus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Malimbus_racheliae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Malimbus_coronatus",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Malimbus_nitens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Malimbus_malimbicus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_batesi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Ploceus_nelicourvi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_sakalava",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_aureonucha",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Euplectes_diadematus",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Euplectes_hordeaceus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_nigroventris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_orix",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_ardens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_laticauda",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,3,1,0.05,1,1
"Euplectes_gierowii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Brachycope_anomala",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Euplectes_franciscanus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_albonotatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_axillaris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_capensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_macroura",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_progne",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_psammacromius",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Euplectes_jacksoni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_hartlaubi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_afer",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euplectes_aureus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Foudia_delloni",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,0.15,0.05,0.05,0.05,0.05
"Foudia_madagascariensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Foudia_omissa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Foudia_aldabrana",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Foudia_eminentissima",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Foudia_rubra",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Foudia_flavicans",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Foudia_sechellarum",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Quelea_cardinalis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Quelea_erythrops",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Quelea_quelea",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pachyphantes_superciliosus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_manyar",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_philippinus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_benghalensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_hypoxanthus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ploceus_megarhynchus",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Bubalornis_albirostris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bubalornis_niger",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Dinemellia_dinemelli",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Plocepasser_donaldsoni",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Plocepasser_rufoscapulatus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Plocepasser_superciliosus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Plocepasser_mahali",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pseudonigrita_arnaudi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pseudonigrita_cabanisi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Philetairus_socius",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sporopipes_frontalis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sporopipes_squamifrons",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Amblyospiza_albifrons",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Histurgops_ruficauda",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_castaneothorax",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_quinticolor",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_flaviprymna",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_nevermanni",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_teerinki",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_caniceps",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_grandis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_stygia",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_spectabilis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_atricapilla",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_pallida",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_maja",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_malacca",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_ferruginosa",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_fuscans",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_striata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_leucogastra",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_leucogastroides",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_melaena",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_molucca",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_kelaarti",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_punctulata",1,2,3,1,3,4,4,1,3,1,1,1,1
"Mayrimunia_leucosticta",0.05,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Mayrimunia_tristissima",0.05,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Padda_fuscata",1,0.1,0.15,0.05,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Padda_oryzivora",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_monticola",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_hunsteini",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lonchura_nigerrima",0.05,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Lonchura_forbesi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Euodice_cantans",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Euodice_malabarica",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Lonchura_montana",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lonchura_vana",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Lepidopygia_nana",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Spermestes_bicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Spermestes_fringilloides",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Spermestes_cucullata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Spermestes_griseicapilla",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Poephila_acuticauda",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poephila_cincta",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poephila_personata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Taeniopygia_guttata",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stizoptera_bichenovii",1,0.1,0.15,1,3,4,4,1,3,1,1,1,1
"Aidemosyne_modesta",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bathilda_ruficauda",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Emblema_pictum",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Neochmia_phaeton",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Neochmia_temporalis",1,0.1,3,1,3,4,4,1,3,1,1,1,1
"Stagonopleura_bella",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Stagonopleura_oculata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Stagonopleura_guttata",1,0.1,0.15,1,3,4,4,1,3,1,1,1,1
"Oreostruthus_fuliginosus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Heteromunia_pectoralis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lagonosticta_sanguinodorsalis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lagonosticta_umbrinodorsalis",1,0.1,0.15,1,0.15,0.2,0.2,0.05,0.15,1,1,1,1
"Lagonosticta_virata",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lagonosticta_rhodopareia",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lagonosticta_rubricata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lagonosticta_larvata",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Lagonosticta_rara",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lagonosticta_nitidula",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lagonosticta_rufopicta",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Lagonosticta_senegala",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Clytospiza_monteiri",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Euschistospiza_cinereovinacea",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Euschistospiza_dybowskii",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Hypargos_margaritatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Hypargos_niveoguttatus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pytilia_afra",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pytilia_lineata",1,0.1,0.15,1,0.15,0.2,0.2,0.05,3,1,1,1,1
"Pytilia_hypogrammica",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Pytilia_phoenicoptera",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Pytilia_melba",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pyrenestes_ostrinus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pyrenestes_sanguineus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Pyrenestes_minor",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Spermophaga_haematina",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Spermophaga_ruficapilla",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Spermophaga_poliogenys",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Uraeginthus_bengalus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Uraeginthus_cyanocephalus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Uraeginthus_angolensis",1,0.1,0.15,1,3,4,4,1,3,1,1,1,1
"Granatina_granatina",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Granatina_ianthinogaster",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Amandava_amandava",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Amandava_subflava",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Amandava_formosa",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Amadina_erythrocephala",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Amadina_fasciata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ortygospiza_atricollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Paludipasser_locustella",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Estrilda_rhodopyga",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Estrilda_troglodytes",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Estrilda_rufibarba",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Estrilda_astrild",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Estrilda_poliopareia",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Estrilda_melpoda",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Estrilda_paludicola",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Estrilda_nigriloris",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Estrilda_atricapilla",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Estrilda_kandti",1,0.1,0.15,1,0.15,0.2,4,0.05,3,1,1,1,1
"Estrilda_nonnula",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Glaucestrilda_perreini",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Glaucestrilda_thomensis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Glaucestrilda_caerulescens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Brunhilda_charmosyna",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Brunhilda_erythronotos",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Delacourella_capistrata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Nigrita_canicapillus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Nigrita_luteifrons",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Nigrita_bicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Nigrita_fusconotus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Parmoptila_jamesoni",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Parmoptila_woodhousei",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Parmoptila_rubrifrons",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Coccopygia_bocagei",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Coccopygia_melanotis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Coccopygia_quartinia",1,0.1,0.15,1,0.15,0.2,4,0.05,3,1,1,1,1
"Nesocharis_shelleyi",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Nesocharis_ansorgei",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cryptospiza_reichenovii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cryptospiza_salvadorii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cryptospiza_jacksoni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cryptospiza_shelleyi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Mandingoa_nitidula",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Erythrura_papuana",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Erythrura_trichroa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Erythrura_pealii",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Erythrura_coloria",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Erythrura_tricolor",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Erythrura_viridifacies",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Erythrura_cyaneovirens",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Erythrura_psittacea",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Erythrura_hyperythra",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Erythrura_prasina",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Erythrura_kleinschmidti",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Chloebia_gouldiae",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Vidua_chalybeata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Vidua_purpurascens",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Vidua_maryae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Vidua_codringtoni",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Vidua_raricola",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Vidua_nigeriae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Vidua_larvaticola",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Vidua_wilsoni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Vidua_camerunensis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Vidua_funerea",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Vidua_regia",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Vidua_fischeri",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Vidua_orientalis",1,0.1,0.15,1,0.15,0.2,4,0.05,3,1,1,1,1
