"species","spGenResult","spMorphResult"
"aakspa1",109.255882888889,4.28232678942867
"abbbab1",83.6147720341994,2.92385912964312
"abbboo2",112.374625932087,4.92802224133084
"abbsta2",74.4109081493891,2.50095067108066
"abbwar1",60.4111630063035,2.785017487761
"abcwin1",72.211154041364,3.08552396979965
"abdsto1",132.988337771633,6.67576229218467
"abecis1",73.1998266222144,3.0368590600129
"abethr1",83.2521387563458,2.64374521710417
"abetow",86.4434406135116,2.91777694268935
"abgthr1",75.1256533403316,2.69175227002894
"abhori1",91.1310978573119,2.96021931199592
"absbil1",129.951838337486,3.36385344219474
"absfin1",95.8517034557893,3.02971069277881
"abttyr1",100.706831207242,3.28578019623072
"abycat1",74.4332399758852,2.94275483936045
"abylon1",84.7654308037006,3.90187023246353
"abyrol2",129.149437455226,3.56096012858405
"abysis1",82.801652103311,3.96149576808526
"abyslf1",77.1892501624226,3.10163437540282
"abythr1",79.2188310374817,3.02180117788941
"abywhe1",94.5004310418902,4.44815707856538
"abywoo1",129.649511777136,3.23900221315876
"acafly",104.539984182251,2.98012972942452
"acowoo",128.300298885478,2.96352371755572
"acrant1",98.6914063742923,2.701374213538
"acrtot1",99.2521242287342,4.00039573410998
"adepen1",110.99950406557,3.36677601354929
"adewar1",93.931804931888,4.35747391073056
"adtdov1",126.534506277327,3.20773102867281
"afbduc1",167.177426665264,4.61272128020738
"afbfly1",79.383544166134,3.2700939070706
"afbowl1",132.070424364194,3.20124833039512
"afbtit2",81.081764040703,3.65193960879861
"afbwar1",89.9772729743341,3.73688081584717
"afcdov1",129.41807351405,3.29662237114153
"afcfly1",87.0749989663614,3.10211489340387
"afdfly1",79.5763177282848,3.5804109234212
"afdwar1",70.398908236849,3.43245274592871
"afecuc1",134.049128770816,2.71294877076756
"afepig1",133.124341289607,3.63794045830022
"affeag1",129.523444543264,6.10825187385153
"afffin",80.0803561449003,3.55040217903729
"afffly1",83.8647765885896,2.62883885123083
"afgfly1",85.3087661074302,3.02989315386044
"afghor1",128.912212221536,5.65032712980233
"afgori2",93.0782519446682,3.07177523690607
"afgowl1",132.316073329226,4.38381300860198
"afgsno1",73.1562934535695,2.84763221054237
"afgwea1",87.8282397111698,3.17082145046997
"afhbab1",71.7254191636656,2.54563427996703
"afhbab3",64.6898097401026,2.23343631686115
"afhhaw1",128.619823369048,5.65459337011808
"afmdov1",129.676265469289,3.3864806253
"afmhar1",129.359565033628,5.0696361069887
"afmwea",85.8281320729353,3.0800066583275
"afpfly1",90.59944828001,3.05223906769457
"afphor2",128.212994217014,6.11512213260144
"afphor3",125.334809134599,6.05512550592853
"afpkin1",127.215198814912,4.47337241264611
"afpsta1",84.2383310720894,2.98695799989947
"afpswi1",132.961451292074,5.74183235182127
"afptit1",85.2530153959596,4.27317358090628
"afpwag1",88.0058296998986,3.25615569452188
"afrbro1",110.329065142857,3.06959048396071
"afrcha1",74.1863048160181,2.96924997921585
"afrcit1",83.1232861367283,4.07714354503005
"afrcra1",133.650620446284,3.56538293135201
"afrcuc1",134.705438255907,3.26278461399604
"afrcuh1",128.69493868976,4.20025752553804
"afrfin1",133.351214236623,3.84042160705087
"afrgos1",128.384142421225,3.77323889657576
"afrgrp1",133.39409979233,3.22842857041699
"afrhae1",127.243640481329,6.0099231815845
"afrhob1",125.419320215237,3.65579549979614
"afrjac1",132.788679190241,3.89898142905395
"afrmar2",106.784141132706,4.89202549299379
"afrope1",131.707262678617,7.36944802692087
"afroys1",129.695864754087,4.43634600936042
"afrpic1",124.70898401137,3.97156522270287
"afrpip1",88.5129812633286,3.22445012350519
"afrpit1",112.11452376116,3.13164992573608
"afrpyg1",168.506933811498,3.63414937343603
"afrrai1",132.968196431526,3.96268306260653
"afrsco2",132.021058490106,3.35923497064203
"afrshf1",89.315778209165,2.78245940238822
"afrsil1",86.4981517948842,3.88518569083955
"afrski1",129.644267433383,4.53336075403006
"afrsni1",133.195452339506,4.6170764993205
"afrspo1",132.419953553428,7.12981442001207
"afrsto1",83.258509153793,3.42981991496014
"afrswi1",133.370267891291,4.32239869955105
"afrtai2",66.6581037148393,3.02806442382802
"afrthr1",87.2390641222385,2.91023797622198
"afsowl1",132.606433013001,2.97793788886842
"afswar1",76.2381118465272,3.05172673563087
"afwowl1",131.081981981771,4.44181711639493
"afywar1",78.0189280815666,2.9511302806648
"afywhe1",78.9169785900523,3.38070520103432
"afywhe2",83.6404289086031,3.6799860184302
"afywhe3",77.5757289328965,3.59839653468658
"afywhe4",80.3866177371496,3.57333324005588
"agaher1",129.419710706431,5.89751140449451
"agitit1",97.9461156662852,3.085452904407
"ahafra2",172.219207436476,3.65357169150175
"ajpant1",93.1065752216453,3.11873813056519
"akekee",86.1407960048402,3.59595857688953
"akeowl1",130.570582360951,5.35361927323663
"akepa1",54.9104231110602,2.06552131177037
"akiapo",54.3071305886285,2.07427894627911
"akikik",86.20186379976,3.53358138345549
"alaant1",92.8766228207617,3.10474616844042
"alatyr1",93.3484581945766,3.28515689460276
"alblyr1",99.2532304144994,5.07476925077842
"albowl1",130.562157488011,3.00144825289
"alddro1",117.158537841026,3.55015196293449
"aldfly",106.805578312791,2.93415300837838
"aldwhe1",114.199563879377,6.19122796594328
"aleowl1",116.375499373118,3.02715384905012
"alepar1",110.638550616737,3.70866473128572
"alepar2",121.304158555887,4.51978139850021
"aleswi1",132.09086445127,5.42189791072681
"aleter1",100.128170036884,3.26338324158328
"alfant1",103.304659641774,3.06786529664109
"algnut1",81.5353993452019,3.32987725880997
"allant1",96.9549344666207,2.72803193590884
"allgal1",132.209281052159,3.52438646763883
"allhum",132.131683871968,7.11598108599629
"alomyz1",88.4527879233244,3.04150795586211
"alpacc1",64.8997425454458,2.67915915691508
"alpmun1",79.7948700027562,3.42803218206041
"alppip1",73.3900205011587,2.14238824006524
"alprob1",80.9344071859091,2.83792028852647
"alpswi1",132.783105760649,4.10695031505258
"alptap1",99.6673529872322,2.64391412020831
"alpthr1",59.6146173854308,2.77795925216832
"alsred1",76.0946417801809,3.04319958545089
"altori",88.7755678194304,2.75625867920707
"altsno1",171.804778723497,4.87806765469323
"altyel1",84.4198309604275,3.7035179445914
"amaant1",104.140328161503,3.17910847123775
"amaant2",102.628983369916,3.00434636664448
"amabaw1",102.047879881199,3.40700084960028
"amahum1",129.983367436839,5.44844346209979
"amakin1",129.812597392637,4.34926957486542
"amapar1",117.16081420466,3.73270533356427
"amapyo1",132.019481906442,3.10920938456426
"amasta1",102.651065538264,4.48333754714289
